PermissionSetID,Direction,SupplierISO3,ImporterISO3,EvidenceTier,EvidenceClass,SourceDocumentIDs,ArchiveEvidenceKey,ModelDefault
B30_V1,MMR>CHN,MMR,CHN,A,corroborated,"MMR_MOI_BORDER_TRADE_2023 | RFA_MMR_CHN_BORDER_2024 | WB_MMR_WOODFUELS_2020",MMR>CHN,TRUE
B30_V1,MOZ>ZAF,MOZ,ZAF,A,corroborated,"MOZ_AQUA_RESSANO_RAIL_2025 | MOZ_CUSTOMS_RESSANO_2024 | MOZ_MAAP_RESSANO_RAIL_2025",MOZ>ZAF,TRUE
B30_V1,SSD>UGA,SSD,UGA,A,corroborated,"GITOC_BLACK_GOLD_2021 | UNSC_SSD_PANEL_S_2025_442",SSD>UGA,TRUE
B30_V1,TZA>KEN,TZA,KEN,A,corroborated,"GITOC_BLACK_GOLD_2021 | TNRF_KEN_TZA_FOREST_PRODUCTS_2012 | TZA_NATIONAL_CHARCOAL_STRATEGY_2021 | TZA_NATIONAL_CHARCOAL_STRATEGY_2022",TZA>KEN,TRUE
B30_V1,TZA>UGA,TZA,UGA,A,corroborated,"GRID_ARENDAL_TZA_ENV_CRIME | TMA_WIT_MIDTERM_EVALUATION | UGA_NATIONAL_CHARCOAL_SURVEY_2015",TZA>UGA,TRUE
B30_V1,BFA>GHA,BFA,GHA,B,explicit_literature,GSS_GHANA_ICBT_Q4_2024,BFA>GHA,TRUE
B30_V1,BOL>BRA,BOL,BRA,B,explicit_literature,"BOL_IBCE_CHARCOAL_EXPORT_MARKETS_2026 | BOL_SIIP_CHARCOAL_ROUTE_TABLES_2020",BOL>BRA,TRUE
B30_V1,CIV>GHA,CIV,GHA,B,explicit_literature,GSS_GHANA_ICBT_Q4_2024,CIV>GHA,TRUE
B30_V1,COD>BDI,COD,BDI,B,explicit_literature,DRC_RWA_UNEP_MONUSCO_ILLICIT_TRADE,COD>BDI,TRUE
B30_V1,COG>CMR,COG,CMR,B,explicit_literature,CMR_INS_INFORMAL_CROSS_BORDER_TRADE_2024,COG>CMR,TRUE
B30_V1,TGO>GHA,TGO,GHA,B,explicit_literature,GSS_GHANA_ICBT_Q4_2024,TGO>GHA,TRUE
B30_V1,ZMB>TZA,ZMB,TZA,B,explicit_literature,"CIFOR_CROSS_BORDER_BRIEF_2021 | TZA_NATIONAL_CHARCOAL_STRATEGY_2022 | ZMB_BWA_CIFOR_OP86_2013",ZMB>TZA,TRUE
B30_V1,ARG>PRY,ARG,PRY,C,explicit_historical_route,ARG_PRY_CLORINDA_ASUNCION_NODE_2015,ARG>PRY,TRUE
B30_V1,COD>RWA,COD,RWA,C,explicit_historical_route,DRC_RWA_GVTC_ILLEGAL_TRADE_2013,COD>RWA,TRUE
B30_V1,COD>UGA,COD,UGA,C,explicit_historical_route,DRC_RWA_UNEP_MONUSCO_ILLICIT_TRADE,COD>UGA,TRUE
B30_V1,COD>ZMB,COD,ZMB,C,explicit_historical_route,CIFOR_CROSS_BORDER_BRIEF_2021,COD>ZMB,TRUE
B30_V1,DOM>HTI,DOM,HTI,C,explicit_historical_route,WB_HAITI_CHARCOAL_ASSESSMENT_2018,DOM>HTI,TRUE
B30_V1,KEN>TZA,KEN,TZA,C,explicit_historical_route,TNRF_KEN_TZA_FOREST_PRODUCTS_2012,KEN>TZA,TRUE
B30_V1,KHM>THA,KHM,THA,C,explicit_historical_route,RFA_KHM_THA_CHARCOAL_2015,KHM>THA,TRUE
B30_V1,KHM>VNM,KHM,VNM,C,explicit_historical_route,KHM_DAILY_VNM_PREAK_CHARK_2003,KHM>VNM,TRUE
B30_V1,LAO>VNM,LAO,VNM,C,explicit_historical_route,VNM_NONGNGHIEP_LAO_CHARCOAL_2010,LAO>VNM,TRUE
B30_V1,MMR>THA,MMR,THA,C,explicit_historical_route,"FOREST_TRENDS_MMR_CHARCOAL_2020 | WB_MMR_WOODFUELS_2020",MMR>THA,TRUE
B30_V1,MOZ>MWI,MOZ,MWI,C,explicit_historical_route,MWNATION_MOZ_MWI_CHARCOAL_2017,MOZ>MWI,TRUE
B30_V1,NGA>BEN,NGA,BEN,C,explicit_historical_route,OKERETE_BORDER_FEASIBILITY_2012,NGA>BEN,TRUE
B30_V1,RWA>COD,RWA,COD,C,explicit_historical_route,"BDI_COD_INTL_ALERT_CROSS_BORDER_2012 | DRC_RWA_GVTC_ILLEGAL_TRADE_2013",RWA>COD,TRUE
B30_V1,SEN>GMB,SEN,GMB,C,explicit_historical_route,"FAO_GMB_WOODFUEL_REVIEW | FIELD_CASAMANCE_GAMBIA_2022 | GMB_ENERGY_POLICY_SOUTHERN_SENEGAL",SEN>GMB,TRUE
B30_V1,UGA>KEN,UGA,KEN,C,explicit_historical_route,"CIFOR_CROSS_BORDER_BRIEF_2021 | GITOC_BLACK_GOLD_2021",UGA>KEN,TRUE
B30_V1,ZMB>BWA,ZMB,BWA,C,explicit_historical_route,ZMB_BWA_CIFOR_OP86_2013,ZMB>BWA,TRUE
B30_V1,ZMB>MOZ,ZMB,MOZ,C,explicit_historical_route,ZMB_BWA_CIFOR_OP86_2013,ZMB>MOZ,TRUE
B30_V1,ZMB>ZWE,ZMB,ZWE,C,explicit_historical_route,"CIFOR_CROSS_BORDER_BRIEF_2021 | ZMB_BWA_CIFOR_OP86_2013",ZMB>ZWE,TRUE
