CandidateID,MajorRegion,CandidateRegionID,RunCode,Subregion,GID_0,NAME_0,ImporterV,EvidenceConfidence,Status,SourceArtifact
M67_GME_V2,SSA,M67_01_GREAT_LAKES_EAST_AFRICA,GLEA,Great Lakes-East Africa charcoal network,BDI,Burundi,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated,06_review_and_decision_artifacts/moderate_global_directional_regionalization_membership_v2.csv
M67_GME_V2,SSA,M67_01_GREAT_LAKES_EAST_AFRICA,GLEA,Great Lakes-East Africa charcoal network,COD,Democratic Republic of the Congo,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated,06_review_and_decision_artifacts/moderate_global_directional_regionalization_membership_v2.csv
M67_GME_V2,SSA,M67_01_GREAT_LAKES_EAST_AFRICA,GLEA,Great Lakes-East Africa charcoal network,KEN,Kenya,1,high_current_material_or_current_official_evidence,proposed_configuration_not_spatially_built_or_model_validated,06_review_and_decision_artifacts/moderate_global_directional_regionalization_membership_v2.csv
M67_GME_V2,SSA,M67_01_GREAT_LAKES_EAST_AFRICA,GLEA,Great Lakes-East Africa charcoal network,RWA,Rwanda,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated,06_review_and_decision_artifacts/moderate_global_directional_regionalization_membership_v2.csv
M67_GME_V2,SSA,M67_01_GREAT_LAKES_EAST_AFRICA,GLEA,Great Lakes-East Africa charcoal network,SDN,Sudan,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated,06_review_and_decision_artifacts/moderate_global_directional_regionalization_membership_v2.csv
M67_GME_V2,SSA,M67_01_GREAT_LAKES_EAST_AFRICA,GLEA,Great Lakes-East Africa charcoal network,SOM,Somalia,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated,06_review_and_decision_artifacts/moderate_global_directional_regionalization_membership_v2.csv
M67_GME_V2,SSA,M67_01_GREAT_LAKES_EAST_AFRICA,GLEA,Great Lakes-East Africa charcoal network,SSD,South Sudan,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated,06_review_and_decision_artifacts/moderate_global_directional_regionalization_membership_v2.csv
M67_GME_V2,SSA,M67_01_GREAT_LAKES_EAST_AFRICA,GLEA,Great Lakes-East Africa charcoal network,TZA,United Republic of Tanzania,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated,06_review_and_decision_artifacts/moderate_global_directional_regionalization_membership_v2.csv
M67_GME_V2,SSA,M67_01_GREAT_LAKES_EAST_AFRICA,GLEA,Great Lakes-East Africa charcoal network,UGA,Uganda,1,high_current_material_or_current_official_evidence,proposed_configuration_not_spatially_built_or_model_validated,06_review_and_decision_artifacts/moderate_global_directional_regionalization_membership_v2.csv
M67_GME_V2,SSA,M67_03_CENTRAL_AFRICA_LAKE_CHAD,CALC,Central Africa-Lake Chad charcoal network,BEN,Benin,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated,06_review_and_decision_artifacts/moderate_global_directional_regionalization_membership_v2.csv
M67_GME_V2,SSA,M67_03_CENTRAL_AFRICA_LAKE_CHAD,CALC,Central Africa-Lake Chad charcoal network,CAF,Central African Republic,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated,06_review_and_decision_artifacts/moderate_global_directional_regionalization_membership_v2.csv
M67_GME_V2,SSA,M67_03_CENTRAL_AFRICA_LAKE_CHAD,CALC,Central Africa-Lake Chad charcoal network,CMR,Cameroon,1,high_current_material_or_current_official_evidence,proposed_configuration_not_spatially_built_or_model_validated,06_review_and_decision_artifacts/moderate_global_directional_regionalization_membership_v2.csv
M67_GME_V2,SSA,M67_03_CENTRAL_AFRICA_LAKE_CHAD,CALC,Central Africa-Lake Chad charcoal network,COG,Congo,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated,06_review_and_decision_artifacts/moderate_global_directional_regionalization_membership_v2.csv
M67_GME_V2,SSA,M67_03_CENTRAL_AFRICA_LAKE_CHAD,CALC,Central Africa-Lake Chad charcoal network,NER,Niger,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated,06_review_and_decision_artifacts/moderate_global_directional_regionalization_membership_v2.csv
M67_GME_V2,SSA,M67_03_CENTRAL_AFRICA_LAKE_CHAD,CALC,Central Africa-Lake Chad charcoal network,NGA,Nigeria,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated,06_review_and_decision_artifacts/moderate_global_directional_regionalization_membership_v2.csv
M67_GME_V2,SSA,M67_03_CENTRAL_AFRICA_LAKE_CHAD,CALC,Central Africa-Lake Chad charcoal network,TCD,Chad,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated,06_review_and_decision_artifacts/moderate_global_directional_regionalization_membership_v2.csv
M67_GME_V2,SSA,M67_04_SOUTHERN_AFRICA,SAFR,Southern African charcoal network,BWA,Botswana,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated,06_review_and_decision_artifacts/moderate_global_directional_regionalization_membership_v2.csv
