"CandidateID","MajorRegion","CandidateRegionID","RunCode","Subregion","GID_0","NAME_0","ImporterV","EvidenceConfidence","Status","PermissionSetID","RegionBasis","ComponentSize","AcceptedEdgeCount","VSrcA","VSrcB","VSrcC"
"M85_B30_V1","SSA","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","BDI","Burundi",1,"tier_B_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","COD",""
"M85_B30_V1","SSA","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","COD","Democratic Republic of the Congo",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","","RWA"
"M85_B30_V1","SSA","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","KEN","Kenya",1,"tier_A_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"TZA","","UGA"
"M85_B30_V1","SSA","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","RWA","Rwanda",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","","COD"
"M85_B30_V1","SSA","M85_S_SDN","SDN","Sudan domestic-only singleton","SDN","Sudan",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_S_SOM","SOM","Somalia domestic-only singleton","SOM","Somalia",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","SSD","South Sudan",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","",""
"M85_B30_V1","SSA","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","TZA","United Republic of Tanzania",1,"tier_B_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","ZMB","KEN"
"M85_B30_V1","SSA","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","UGA","Uganda",1,"tier_A_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"SSD;TZA","","COD"
"M85_B30_V1","SSA","M85_08_BNNG","BNNG","Benin-Nigeria bilateral charcoal region","BEN","Benin",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",2,1,"","","NGA"
"M85_B30_V1","SSA","M85_S_CAF","CAF","Central African Republic domestic-only singleton","CAF","Central African Republic",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_06_CMCG","CMCG","Cameroon-Congo bilateral charcoal region","CMR","Cameroon",1,"tier_B_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",2,1,"","COG",""
"M85_B30_V1","SSA","M85_06_CMCG","CMCG","Cameroon-Congo bilateral charcoal region","COG","Congo",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",2,1,"","",""
"M85_B30_V1","SSA","M85_S_NER","NER","Niger domestic-only singleton","NER","Niger",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_08_BNNG","BNNG","Benin-Nigeria bilateral charcoal region","NGA","Nigeria",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",2,1,"","",""
"M85_B30_V1","SSA","M85_S_TCD","TCD","Chad domestic-only singleton","TCD","Chad",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","BWA","Botswana",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","","ZMB"
"M85_B30_V1","SSA","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","MOZ","Mozambique",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","","ZMB"
"M85_B30_V1","SSA","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","MWI","Malawi",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","","MOZ"
"M85_B30_V1","SSA","M85_S_SWZ","SWZ","Eswatini domestic-only singleton","SWZ","Eswatini",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","ZAF","South Africa",1,"tier_A_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"MOZ","",""
"M85_B30_V1","SSA","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","ZMB","Zambia",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","","COD"
"M85_B30_V1","SSA","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","ZWE","Zimbabwe",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","","ZMB"
"M85_B30_V1","SSA","M85_S_GIN","GIN","Guinea domestic-only singleton","GIN","Guinea",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_09_GMSN","GMSN","Gambia-Senegal bilateral charcoal region","GMB","Gambia",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",2,1,"","","SEN"
"M85_B30_V1","SSA","M85_S_GNB","GNB","Guinea-Bissau domestic-only singleton","GNB","Guinea-Bissau",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_S_MRT","MRT","Mauritania domestic-only singleton","MRT","Mauritania",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_09_GMSN","GMSN","Gambia-Senegal bilateral charcoal region","SEN","Senegal",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",2,1,"","",""
"M85_B30_V1","SSA","M85_03_GOG4","GOG4","Ghana-centred Gulf of Guinea bilateral charcoal network","BFA","Burkina Faso",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",4,3,"","",""
"M85_B30_V1","SSA","M85_03_GOG4","GOG4","Ghana-centred Gulf of Guinea bilateral charcoal network","CIV","C<U+00F4>te d'Ivoire",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",4,3,"","",""
"M85_B30_V1","SSA","M85_03_GOG4","GOG4","Ghana-centred Gulf of Guinea bilateral charcoal network","GHA","Ghana",1,"tier_B_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",4,3,"","BFA;CIV;TGO",""
"M85_B30_V1","SSA","M85_03_GOG4","GOG4","Ghana-centred Gulf of Guinea bilateral charcoal network","TGO","Togo",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",4,3,"","",""
"M85_B30_V1","SSA","M85_S_AGO","AGO","Angola domestic-only singleton","AGO","Angola",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_S_NAM","NAM","Namibia domestic-only singleton","NAM","Namibia",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_S_DJI","DJI","Djibouti domestic-only singleton","DJI","Djibouti",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_S_ETH","ETH","Ethiopia domestic-only singleton","ETH","Ethiopia",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_S_COM","COM","Comoros domestic-only singleton","COM","Comoros",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_S_CPV","CPV","Cabo Verde domestic-only singleton","CPV","Cabo Verde",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_S_ERI","ERI","Eritrea domestic-only singleton","ERI","Eritrea",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_S_GAB","GAB","Gabon domestic-only singleton","GAB","Gabon",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_S_GNQ","GNQ","Equatorial Guinea domestic-only singleton","GNQ","Equatorial Guinea",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_S_LBR","LBR","Liberia domestic-only singleton","LBR","Liberia",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_S_LSO","LSO","Lesotho domestic-only singleton","LSO","Lesotho",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_S_MDG","MDG","Madagascar domestic-only singleton","MDG","Madagascar",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_S_MLI","MLI","Mali domestic-only singleton","MLI","Mali",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_S_MUS","MUS","Mauritius domestic-only singleton","MUS","Mauritius",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_S_SLE","SLE","Sierra Leone domestic-only singleton","SLE","Sierra Leone",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","SSA","M85_S_STP","STP","Sao Tome and Principe domestic-only singleton","STP","Sao Tome and Principe",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","LATAM","M85_04_ARPY","ARPY","Argentina-Paraguay bilateral charcoal region","ARG","Argentina",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",2,1,"","",""
