Subregion,GID_0,NAME_0
Central Asia,AFG,Afghanistan
Bangladesh,BGD,Bangladesh
Bhutan,BTN,Bhutan
India,IND,India
Central Asia,IRN,Iran
Central Asia,KAZ,Kazakhstan
Central Asia,KGZ,Kyrgyzstan
Nepal,NPL,Nepal
Pakistan,PAK,Pakistan
Sri Lanka,LKA,Sri Lanka
Central Asia,TJK,Tajikistan
Central Asia,TKM,Turkmenistan
Central Asia,UZB,Uzbekistan
SEAsia,KHM,Cambodia
China,CHN,China
Indonesia,IDN,Indonesia
SEAsia,LAO,Laos
Malaysia,MYS,Malaysia
Mongolia,MNG,Mongolia
Myanmar,MMR,Myanmar
SEAsia,PRK,North Korea
Philippines,PHL,Philippines
SEAsia,THA,Thailand
Timor-Leste,TLS,Timor-Leste
SEAsia,VNM,Vietnam
Middle East,ARM,Armenia
Middle East,AZE,Azerbaijan
Middle East,GEO,Georgia
Middle East,IRQ,Iraq
Middle East,JOR,Jordan
Middle East,SYR,Syrian Arab Republic
Middle East,TUR,Turkey
Middle East,YEM,Yemen
