"CandidateID","CandidateRegionID","RunCode","Subregion","GID_0","NAME_0","ImporterV","EvidenceConfidence","Status","PermissionSetID","RegionBasis","ComponentSize","AcceptedEdgeCount","VSrcA","VSrcB","VSrcC"
"M85_B30_V1","M85_02_MSEA","MSEA","Mainland Southeast Asia bilateral charcoal network","CHN","China",1,"tier_A_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",6,5,"MMR","",""
"M85_B30_V1","M85_S_IND","IND","India domestic-only singleton","IND","India",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_02_MSEA","MSEA","Mainland Southeast Asia bilateral charcoal network","KHM","Cambodia",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",6,5,"","",""
"M85_B30_V1","M85_02_MSEA","MSEA","Mainland Southeast Asia bilateral charcoal network","LAO","Lao People's Democratic Republic",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",6,5,"","",""
"M85_B30_V1","M85_02_MSEA","MSEA","Mainland Southeast Asia bilateral charcoal network","MMR","Myanmar",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",6,5,"","",""
"M85_B30_V1","M85_S_NPL","NPL","Nepal domestic-only singleton","NPL","Nepal",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_02_MSEA","MSEA","Mainland Southeast Asia bilateral charcoal network","THA","Thailand",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",6,5,"","","KHM;MMR"
"M85_B30_V1","M85_02_MSEA","MSEA","Mainland Southeast Asia bilateral charcoal network","VNM","Viet Nam",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",6,5,"","","KHM;LAO"
"M85_B30_V1","M85_S_AZE","AZE","Azerbaijan domestic-only singleton","AZE","Azerbaijan",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_TUR","TUR","Turkey domestic-only singleton","TUR","Turkey",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_IDN","IDN","Indonesia domestic-only singleton","IDN","Indonesia",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_MYS","MYS","Malaysia domestic-only singleton","MYS","Malaysia",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_AFG","AFG","Afghanistan domestic-only singleton","AFG","Afghanistan",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_ARM","ARM","Armenia domestic-only singleton","ARM","Armenia",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_BGD","BGD","Bangladesh domestic-only singleton","BGD","Bangladesh",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_BTN","BTN","Bhutan domestic-only singleton","BTN","Bhutan",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_GEO","GEO","Georgia domestic-only singleton","GEO","Georgia",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_IRN","IRN","Iran (Islamic Republic of) domestic-only singleton","IRN","Iran (Islamic Republic of)",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_IRQ","IRQ","Iraq domestic-only singleton","IRQ","Iraq",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_JOR","JOR","Jordan domestic-only singleton","JOR","Jordan",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_KAZ","KAZ","Kazakhstan domestic-only singleton","KAZ","Kazakhstan",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_KGZ","KGZ","Kyrgyzstan domestic-only singleton","KGZ","Kyrgyzstan",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_LKA","LKA","Sri Lanka domestic-only singleton","LKA","Sri Lanka",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_MDV","MDV","Maldives domestic-only singleton","MDV","Maldives",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_MNG","MNG","Mongolia domestic-only singleton","MNG","Mongolia",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_PAK","PAK","Pakistan domestic-only singleton","PAK","Pakistan",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_PHL","PHL","Philippines domestic-only singleton","PHL","Philippines",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_PRK","PRK","Democratic People's Republic of Korea domestic-only singleton","PRK","Democratic People's Republic of Korea",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_SYR","SYR","Syrian Arab Republic domestic-only singleton","SYR","Syrian Arab Republic",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_TJK","TJK","Tajikistan domestic-only singleton","TJK","Tajikistan",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_TKM","TKM","Turkmenistan domestic-only singleton","TKM","Turkmenistan",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_TLS","TLS","Timor-Leste domestic-only singleton","TLS","Timor-Leste",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_UZB","UZB","Uzbekistan domestic-only singleton","UZB","Uzbekistan",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_YEM","YEM","Yemen domestic-only singleton","YEM","Yemen",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
