Subregion,GID_0,NAME_0
Brazil,BRA,Brazil
Central America,BLZ,Belize
Central America,CRI,Costa Rica
Espanhola,DOM,Dominican Republic
El Salvador,SLV,El Salvador
Central America,GTM,Guatemala
Espanhola,HTI,Haiti
Central America,HND,Honduras
Jamaica,JAM,Jamaica
Central America,NIC,Nicaragua
Central America,PAN,Panama
erasefromregions,DMA,Dominica
erasefromregions,GRD,Grenada
erasefromregions,LCA,Saint Lucia
erasefromregions,VCT,Saint Vincent and the Grenadines
erasefromregions,SUR,Suriname
Mexico,MEX,México
Colombia,COL,Colombia
Guyana,GUY,Guyana
Southern LATAM,ARG,Argentina
Southern LATAM,PRY,Paraguay
Bolivia,BOL,Bolivia
Western LATAM,ECU,Ecuador
Western LATAM,PER,Peru
