Subregion,GID_0,NAME_0
Brazil,BRA,Brazil
Central America,BLZ,Belize
Central America,CRI,Costa Rica
Espanhola,DOM,Dominican Republic
El Salvador,SLV,El Salvador
Central America,GTM,Guatemala
Espanhola,HTI,Haiti
Central America,HND,Honduras
Jamaica,JAM,Jamaica
Central America,NIC,Nicaragua
Central America,PAN,Panama
Jamaica,DMA,Dominica
Jamaica,GRD,Grenada
Jamaica,LCA,Saint Lucia
Jamaica,VCT,Saint Vincent and the Grenadines
Guyana,SUR,Suriname
Mexico,MEX,México
Colombia,COL,Colombia
Guyana,GUY,Guyana
Southern LATAM,ARG,Argentina
Southern LATAM,PRY,Paraguay
Bolivia,BOL,Bolivia
Western LATAM,ECU,Ecuador
Western LATAM,PER,Peru
