Subregion,GID_0,NAME_0,RunCode,CandidateID,CandidateRegionID,ImporterV,EvidenceConfidence,Status
Southern Cone-Andean charcoal network,ARG,Argentina,SCAN,M67_GME_V2,M67_06_SOUTHERN_CONE_ANDEAN,1,sensitivity_explicit_direction_only,proposed_configuration_not_spatially_built_or_model_validated
Southern Cone-Andean charcoal network,BOL,Bolivia (Plurinational State of),SCAN,M67_GME_V2,M67_06_SOUTHERN_CONE_ANDEAN,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Southern Cone-Andean charcoal network,BRA,Brazil,SCAN,M67_GME_V2,M67_06_SOUTHERN_CONE_ANDEAN,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Southern Cone-Andean charcoal network,PER,Peru,SCAN,M67_GME_V2,M67_06_SOUTHERN_CONE_ANDEAN,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Southern Cone-Andean charcoal network,PRY,Paraguay,SCAN,M67_GME_V2,M67_06_SOUTHERN_CONE_ANDEAN,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
El Salvador-Honduras charcoal corridor,HND,Honduras,ESHN,M67_GME_V2,M67_11_EL_SALVADOR_HONDURAS,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
El Salvador-Honduras charcoal corridor,SLV,El Salvador,ESHN,M67_GME_V2,M67_11_EL_SALVADOR_HONDURAS,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Hispaniola charcoal corridor,DOM,Dominican Republic,HISP,M67_GME_V2,M67_12_HISPANIOLA,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Hispaniola charcoal corridor,HTI,Haiti,HISP,M67_GME_V2,M67_12_HISPANIOLA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Belize singleton,BLZ,Belize,blz,M67_GME_V2,M67_17_BLZ_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Colombia singleton,COL,Colombia,col,M67_GME_V2,M67_19_COL_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Costa Rica singleton,CRI,Costa Rica,cri,M67_GME_V2,M67_22_CRI_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Dominica singleton,DMA,Dominica,dma,M67_GME_V2,M67_23_DMA_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Ecuador singleton,ECU,Ecuador,ecu,M67_GME_V2,M67_25_ECU_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Grenada singleton,GRD,Grenada,grd,M67_GME_V2,M67_31_GRD_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Guatemala singleton,GTM,Guatemala,gtm,M67_GME_V2,M67_32_GTM_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Guyana singleton,GUY,Guyana,guy,M67_GME_V2,M67_33_GUY_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Jamaica singleton,JAM,Jamaica,jam,M67_GME_V2,M67_36_JAM_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Saint Lucia singleton,LCA,Saint Lucia,lca,M67_GME_V2,M67_41_LCA_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Mexico singleton,MEX,Mexico,mex,M67_GME_V2,M67_47_MEX_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Nicaragua singleton,NIC,Nicaragua,nic,M67_GME_V2,M67_51_NIC_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Panama singleton,PAN,Panama,pan,M67_GME_V2,M67_53_PAN_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Suriname singleton,SUR,Suriname,sur,M67_GME_V2,M67_59_SUR_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Saint Vincent and the Grenadines singleton,VCT,Saint Vincent and the Grenadines,vct,M67_GME_V2,M67_66_VCT_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
