Subregion,GID_0,NAME_0
Congo Basin,AGO,Angola
Benin,BEN,Benin
Southern Africa,BWA,Botswana
Burkina Faso,BFA,Burkina Faso
Central Africa,BDI,Burundi
Cabo Verde,CPV,Cabo Verde
Congo Basin,CMR,Cameroon
Congo Basin,CAF,Central African Republic
Chad,TCD,Chad
Comoros,COM,Comoros
Côte d'Ivoire,CIV,Côte d'Ivoire
Congo Basin,COD,Democratic Republic of the Congo
Eastern Africa,DJI,Djibouti
Westsouthern Africa,GNQ,Equatorial Guinea
Eastern Africa,ERI,Eritrea
Eastern Africa,ETH,Ethiopia
Congo Basin,GAB,Gabon
Senegambia,GMB,Gambia
Ghana,GHA,Ghana
Western Africa,GNB,Guinea
Western Africa,GIN,Guinea-Bissau
Kenya,KEN,Kenya
Southern Africa,LSO,Lesotho
Western Africa,LBR,Liberia
Madagascar,MDG,Madagascar
Malambique,MWI,Malawi
Mali,MLI,Mali
Mauritania,MRT,Mauritania
Mauritius,MUS,Mauritius
Malambique,MOZ,Mozambique
Southern Africa,NAM,Namibia
Niger,NER,Niger
Westcentral Africa,NGA,Nigeria
Congo Basin,COG,Republic of the Congo
Congo Basin,RWA,Rwanda
São Tomé and Príncipe,STP,São Tomé and Príncipe
Senegambia,SEN,Senegal
Western Africa,SLE,Sierra Leone
Eastern Africa,SOM,Somalia
Southern Africa,ZAF,South Africa
Northcentral Africa,SSD,South Sudan
Southern Africa,SWZ,Swaziland
Tanzania,TZA,Tanzania
Togo,TGO,Togo
Congo Basin,UGA,Uganda
Zambia,ZMB,Zambia
Zimbabwe,ZWE,Zimbabwe
Northcentral Africa,SDN,Sudan
