"CandidateID","CandidateRegionID","RunCode","Subregion","GID_0","NAME_0","ImporterV","EvidenceConfidence","Status","PermissionSetID","RegionBasis","ComponentSize","AcceptedEdgeCount","VSrcA","VSrcB","VSrcC"
"M85_B30_V1","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","BDI","Burundi",1,"tier_B_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","COD",""
"M85_B30_V1","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","COD","Democratic Republic of the Congo",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","","RWA"
"M85_B30_V1","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","KEN","Kenya",1,"tier_A_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"TZA","","UGA"
"M85_B30_V1","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","RWA","Rwanda",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","","COD"
"M85_B30_V1","M85_S_SDN","SDN","Sudan domestic-only singleton","SDN","Sudan",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_SOM","SOM","Somalia domestic-only singleton","SOM","Somalia",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","SSD","South Sudan",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","",""
"M85_B30_V1","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","TZA","United Republic of Tanzania",1,"tier_B_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","ZMB","KEN"
"M85_B30_V1","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","UGA","Uganda",1,"tier_A_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"SSD;TZA","","COD"
"M85_B30_V1","M85_08_BNNG","BNNG","Benin-Nigeria bilateral charcoal region","BEN","Benin",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",2,1,"","","NGA"
"M85_B30_V1","M85_S_CAF","CAF","Central African Republic domestic-only singleton","CAF","Central African Republic",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_06_CMCG","CMCG","Cameroon-Congo bilateral charcoal region","CMR","Cameroon",1,"tier_B_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",2,1,"","COG",""
"M85_B30_V1","M85_06_CMCG","CMCG","Cameroon-Congo bilateral charcoal region","COG","Congo",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",2,1,"","",""
"M85_B30_V1","M85_S_NER","NER","Niger domestic-only singleton","NER","Niger",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_08_BNNG","BNNG","Benin-Nigeria bilateral charcoal region","NGA","Nigeria",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",2,1,"","",""
"M85_B30_V1","M85_S_TCD","TCD","Chad domestic-only singleton","TCD","Chad",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","BWA","Botswana",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","","ZMB"
"M85_B30_V1","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","MOZ","Mozambique",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","","ZMB"
"M85_B30_V1","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","MWI","Malawi",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","","MOZ"
"M85_B30_V1","M85_S_SWZ","SWZ","Eswatini domestic-only singleton","SWZ","Eswatini",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","ZAF","South Africa",1,"tier_A_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"MOZ","",""
"M85_B30_V1","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","ZMB","Zambia",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","","COD"
"M85_B30_V1","M85_01_ECSA","ECSA","East-Central-Southern Africa bilateral charcoal network","ZWE","Zimbabwe",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",13,16,"","","ZMB"
"M85_B30_V1","M85_S_GIN","GIN","Guinea domestic-only singleton","GIN","Guinea",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_09_GMSN","GMSN","Gambia-Senegal bilateral charcoal region","GMB","Gambia",1,"tier_C_inbound","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",2,1,"","","SEN"
"M85_B30_V1","M85_S_GNB","GNB","Guinea-Bissau domestic-only singleton","GNB","Guinea-Bissau",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_S_MRT","MRT","Mauritania domestic-only singleton","MRT","Mauritania",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","no_accepted_bilateral_connection",1,0,"","",""
"M85_B30_V1","M85_09_GMSN","GMSN","Gambia-Senegal bilateral charcoal region","SEN","Senegal",0,"domestic_only","model_ready_bilateral_permissions_v1","B30_V1","minimum_evidence_connected_component",2,1,"","",""
