country,admin_level,demand_value,marginal_fnrb,nrb_2020_2030_1mc,harv_2020_2030_1mc,fnrb_2020_2030_1mc
Angola,Adm0,-30,25.86,20444380,85377794,24
Angola,Adm0,-20,26.73,23598544,97573337,24
Angola,Adm0,-10,27.30,26823758,109767745,24
Angola,Adm0,0,27.90,30117509,121960937,25
Angola,Adm0,10,28.51,33481124,134154045,25
Angola,Adm0,20,28.81,36919922,146344612,25
Angola,Adm0,30,28.81,40432062,158535231,26
Angola Charcoal And Urban Fw Only,Adm0,-30,25.86,20444380,85377794,24
Angola Charcoal And Urban Fw Only,Adm0,-20,26.73,23598544,97573337,24
Angola Charcoal And Urban Fw Only,Adm0,-10,27.30,26823758,109767745,24
Angola Charcoal And Urban Fw Only,Adm0,0,27.90,30117509,121960937,25
Angola Charcoal And Urban Fw Only,Adm0,10,28.51,33481124,134154045,25
Angola Charcoal And Urban Fw Only,Adm0,20,28.81,36919922,146344612,25
Angola Charcoal And Urban Fw Only,Adm0,30,28.81,40432062,158535231,26
Angola Rural Fw Only,Adm0,-30,24.51,6667798,27852736,24
Angola Rural Fw Only,Adm0,-20,24.77,7643074,31831698,24
Angola Rural Fw Only,Adm0,-10,24.95,8624986,35810660,24
Angola Rural Fw Only,Adm0,0,25.15,9613934,39789619,24
Angola Rural Fw Only,Adm0,10,25.36,10610504,43768566,24
Angola Rural Fw Only,Adm0,20,25.47,11615317,47747496,24
Angola Rural Fw Only,Adm0,30,25.47,12628749,51726180,24
Dr Congo,Adm0,-30,38.02,125363103,353733393,35
Dr Congo,Adm0,-20,39.00,144571422,404259994,36
Dr Congo,Adm0,-10,39.63,164107898,454780542,36
Dr Congo,Adm0,0,40.27,183969963,505294012,36
Dr Congo,Adm0,10,40.92,204148595,555804237,37
Dr Congo,Adm0,20,41.25,224646672,606304576,37
Dr Congo,Adm0,30,41.25,245474328,656801306,37
Gambia,Adm0,-30,65.21,5530532,11259599,49
Gambia,Adm0,-20,72.51,7042548,13578326,52
Gambia,Adm0,-10,78.25,8549427,15734184,54
Gambia,Adm0,0,84.89,10036949,17708084,57
Gambia,Adm0,10,93.23,11465140,19460203,59
Gambia,Adm0,20,98.80,12802493,20965861,61
Gambia,Adm0,30,98.80,13979323,22156934,63
Ghana,Adm0,-30,81.35,114366056,182346555,63
Ghana,Adm0,-20,76.44,134425372,207003719,65
Ghana,Adm0,-10,71.04,153007757,230521135,66
Ghana,Adm0,0,67.39,169494283,252881376,67
Ghana,Adm0,10,68.48,184694127,275126512,67
Ghana,Adm0,20,70.69,199083327,296790470,67
Ghana,Adm0,30,70.69,213313307,316920335,67
Honduras,Adm0,-30,21.54,5822824,30674193,19
Honduras,Adm0,-20,22.42,6766021,35053415,19
Honduras,Adm0,-10,23.00,7735125,39431024,20
Honduras,Adm0,0,23.61,8729502,43809688,20
Honduras,Adm0,10,24.19,9748598,48184920,20
Honduras,Adm0,20,24.47,10795075,52560234,21
Honduras,Adm0,30,24.47,11865030,56933571,21
India,Adm0,-30,4.22,88387357,984576407,9
India,Adm0,-20,5.08,94315801,1125118903,8
India,Adm0,-10,5.50,101139284,1265472085,8
India,Adm0,0,5.84,108584006,1405786770,8
India,Adm0,10,6.16,116560465,1546050749,8
India,Adm0,20,6.33,124964085,1686184846,7
India,Adm0,30,6.33,133827587,1826293567,7
Ivory Coast,Adm0,-30,13.37,9627101,80728360,12
Ivory Coast,Adm0,-20,14.16,11168734,92260622,12
Ivory Coast,Adm0,-10,14.77,12767503,103792477,12
Ivory Coast,Adm0,0,15.45,14433746,115324115,13
Ivory Coast,Adm0,10,16.22,16173969,126855266,13
