iso3,country,region,area,fuel,year,fuel_tons1,fuel_tons2,fuel_tons3,,Includes corrections of previous error in charcoal demand,
KHM,Cambodia,asia,Urban,fuelwood,2010,692227,1021227,1021227,,fuel_tons1,"residential only - pulls directly from ""BAU_fuel_cons"""
KHM,Cambodia,asia,Urban,fuelwood,2011,692481,1035981,1035981,,fuel_tons2,adds non-residential demand to fuel_tons1
KHM,Cambodia,asia,Urban,fuelwood,2012,692178,1049678,1049678,,fuel_tons3,adjusted to test impact of changing wood:charc eff to 4
KHM,Cambodia,asia,Urban,fuelwood,2013,691053,1063553,1063553,,,
KHM,Cambodia,asia,Urban,fuelwood,2014,688882,1078882,1078882,,,
KHM,Cambodia,asia,Urban,fuelwood,2015,685430,1106430,1106430,,,
KHM,Cambodia,asia,Urban,fuelwood,2016,680624,1110124,1110124,,,
KHM,Cambodia,asia,Urban,fuelwood,2017,674381,1087381,1087381,,,
KHM,Cambodia,asia,Urban,fuelwood,2018,666785,1033785,1033785,,,
KHM,Cambodia,asia,Urban,fuelwood,2019,657730,1012730,1012730,,,
KHM,Cambodia,asia,Urban,fuelwood,2020,647135,1007702,1007702,,,
KHM,Cambodia,asia,Urban,fuelwood,2021,634921,985387,985387,,,
KHM,Cambodia,asia,Urban,fuelwood,2022,621020,961387,961387,,,
KHM,Cambodia,asia,Urban,fuelwood,2023,605382,935649,935649,,,
KHM,Cambodia,asia,Urban,fuelwood,2024,587960,908127,908127,,,
KHM,Cambodia,asia,Urban,fuelwood,2025,585973,896040,896040,,,
KHM,Cambodia,asia,Urban,fuelwood,2026,583126,883093,883093,,,
KHM,Cambodia,asia,Urban,fuelwood,2027,579387,869254,869254,,,
KHM,Cambodia,asia,Urban,fuelwood,2028,574741,854507,854507,,,
KHM,Cambodia,asia,Urban,fuelwood,2029,569175,838842,838842,,,
KHM,Cambodia,asia,Urban,fuelwood,2030,562671,822238,822238,,,
KHM,Cambodia,asia,Urban,fuelwood,2031,555194,804661,804661,,,
KHM,Cambodia,asia,Urban,fuelwood,2032,546703,786069,786069,,,
KHM,Cambodia,asia,Urban,fuelwood,2033,537159,766426,766426,,,
KHM,Cambodia,asia,Urban,fuelwood,2034,526523,745690,745690,,,
KHM,Cambodia,asia,Urban,fuelwood,2035,514754,723821,723821,,,
KHM,Cambodia,asia,Urban,fuelwood,2036,501808,700774,700774,,,
KHM,Cambodia,asia,Urban,fuelwood,2037,487638,676505,676505,,,
KHM,Cambodia,asia,Urban,fuelwood,2038,472192,650958,650958,,,
KHM,Cambodia,asia,Urban,fuelwood,2039,455416,624082,624082,,,
KHM,Cambodia,asia,Urban,fuelwood,2040,437259,595826,595826,,,
KHM,Cambodia,asia,Urban,fuelwood,2041,417678,566144,566144,,,
KHM,Cambodia,asia,Urban,fuelwood,2042,396628,534995,534995,,,
KHM,Cambodia,asia,Urban,fuelwood,2043,374053,502320,502320,,,
KHM,Cambodia,asia,Urban,fuelwood,2044,349970,468137,468137,,,
KHM,Cambodia,asia,Urban,fuelwood,2045,324328,432395,432395,,,
KHM,Cambodia,asia,Urban,fuelwood,2046,297110,395077,395077,,,
KHM,Cambodia,asia,Urban,fuelwood,2047,268302,356169,356169,,,
KHM,Cambodia,asia,Urban,fuelwood,2048,237895,315662,315662,,,
KHM,Cambodia,asia,Urban,fuelwood,2049,205882,273549,273549,,,
KHM,Cambodia,asia,Urban,fuelwood,2050,172257,229824,229824,,,
KHM,Cambodia,asia,Urban,charcoal,2010,1315743,1315743,877162,,,
KHM,Cambodia,asia,Urban,charcoal,2011,1281827,1281827,854551,,,
KHM,Cambodia,asia,Urban,charcoal,2012,1244453,1244453,829635,,,
KHM,Cambodia,asia,Urban,charcoal,2013,1202988,1202988,801992,,,
KHM,Cambodia,asia,Urban,charcoal,2014,1156901,1156901,771267,,,
KHM,Cambodia,asia,Urban,charcoal,2015,1105683,1105683,737122,,,
KHM,Cambodia,asia,Urban,charcoal,2016,1049121,1049121,699414,,,
KHM,Cambodia,asia,Urban,charcoal,2017,986988,986988,657992,,,
KHM,Cambodia,asia,Urban,charcoal,2018,919301,919301,612868,,,
KHM,Cambodia,asia,Urban,charcoal,2019,845781,845781,563854,,,
KHM,Cambodia,asia,Urban,charcoal,2020,766195,766195,510796,,,
KHM,Cambodia,asia,Urban,charcoal,2021,680317,680317,453545,,,
KHM,Cambodia,asia,Urban,charcoal,2022,587945,587945,391963,,,
KHM,Cambodia,asia,Urban,charcoal,2023,488892,488892,325928,,,
KHM,Cambodia,asia,Urban,charcoal,2024,382974,382974,255316,,,
KHM,Cambodia,asia,Urban,charcoal,2025,379432,379432,252954,,,
KHM,Cambodia,asia,Urban,charcoal,2026,375194,375194,250129,,,
KHM,Cambodia,asia,Urban,charcoal,2027,370236,370236,246824,,,
KHM,Cambodia,asia,Urban,charcoal,2028,364545,364545,243030,,,
KHM,Cambodia,asia,Urban,charcoal,2029,358107,358107,238738,,,
KHM,Cambodia,asia,Urban,charcoal,2030,350907,350907,233938,,,
KHM,Cambodia,asia,Urban,charcoal,2031,342916,342916,228611,,,
KHM,Cambodia,asia,Urban,charcoal,2032,334103,334103,222736,,,
KHM,Cambodia,asia,Urban,charcoal,2033,324439,324439,216293,,,
KHM,Cambodia,asia,Urban,charcoal,2034,313894,313894,209263,,,
KHM,Cambodia,asia,Urban,charcoal,2035,302435,302435,201623,,,
KHM,Cambodia,asia,Urban,charcoal,2036,290031,290031,193354,,,
KHM,Cambodia,asia,Urban,charcoal,2037,276646,276646,184431,,,
KHM,Cambodia,asia,Urban,charcoal,2038,262244,262244,174829,,,
KHM,Cambodia,asia,Urban,charcoal,2039,246787,246787,164524,,,
KHM,Cambodia,asia,Urban,charcoal,2040,230241,230241,153494,,,
KHM,Cambodia,asia,Urban,charcoal,2041,212576,212576,141717,,,
KHM,Cambodia,asia,Urban,charcoal,2042,193763,193763,129176,,,
KHM,Cambodia,asia,Urban,charcoal,2043,173771,173771,115847,,,
KHM,Cambodia,asia,Urban,charcoal,2044,152602,152602,101734,,,
KHM,Cambodia,asia,Urban,charcoal,2045,130228,130228,86819,,,
KHM,Cambodia,asia,Urban,charcoal,2046,106639,106639,71093,,,
KHM,Cambodia,asia,Urban,charcoal,2047,81827,81827,54551,,,
KHM,Cambodia,asia,Urban,charcoal,2048,55786,55786,37191,,,
KHM,Cambodia,asia,Urban,charcoal,2049,28511,28511,19008,,,
KHM,Cambodia,asia,Urban,charcoal,2050,0,0,0,,,
KHM,Cambodia,asia,Urban,Imp_fuelwood,2010,0,0,0,,,
