iso3,country,region,area,fuel,year,fuel_tons1,fuel_tons2,fuel_tons3,,Includes corrections of previous error in charcoal demand,
MWI,Malawi,ssa,Urban,fuelwood,2000,971465.5089,971465.5089,971465.5089,,fuel_tons1,"residential only - pulls directly from ""BAU_fuel_cons"""
MWI,Malawi,ssa,Urban,fuelwood,2001,988557.7852,988557.7852,988557.7852,,fuel_tons2,adds non-residential demand to fuel_tons1
MWI,Malawi,ssa,Urban,fuelwood,2002,1005042.486,1005042.486,1005042.486,,fuel_tons3,adjusted to test impact of changing wood:charc eff to 4
MWI,Malawi,ssa,Urban,fuelwood,2003,1020825.529,1020825.529,1020825.529,,,
MWI,Malawi,ssa,Urban,fuelwood,2004,1035851.713,1035851.713,1035851.713,,,
MWI,Malawi,ssa,Urban,fuelwood,2005,1062034.068,1062034.068,1062034.068,,,
MWI,Malawi,ssa,Urban,fuelwood,2006,1087619.682,1087619.682,1087619.682,,,
MWI,Malawi,ssa,Urban,fuelwood,2007,1112456.628,1112456.628,1112456.628,,,
MWI,Malawi,ssa,Urban,fuelwood,2008,1136454.034,1136454.034,1136454.034,,,
MWI,Malawi,ssa,Urban,fuelwood,2009,1159335.281,1159335.281,1159335.281,,,
MWI,Malawi,ssa,Urban,fuelwood,2010,1181067.353,1383673.666,1383673.666,,,
MWI,Malawi,ssa,Urban,fuelwood,2011,1201469.715,1410043.642,1410043.642,,,
MWI,Malawi,ssa,Urban,fuelwood,2012,1220421.083,1434951.218,1434951.218,,,
MWI,Malawi,ssa,Urban,fuelwood,2013,1237853.096,1458329.771,1458329.771,,,
MWI,Malawi,ssa,Urban,fuelwood,2014,1253712.597,1480131.835,1480131.835,,,
MWI,Malawi,ssa,Urban,fuelwood,2015,1267902.95,1500260.084,1500260.084,,,
MWI,Malawi,ssa,Urban,fuelwood,2016,1280263.162,1518542.242,1518542.242,,,
MWI,Malawi,ssa,Urban,fuelwood,2017,1290580.255,1534745.063,1534745.063,,,
MWI,Malawi,ssa,Urban,fuelwood,2018,1298634.16,1548627.174,1548627.174,,,
MWI,Malawi,ssa,Urban,fuelwood,2019,1304182.148,1559920.392,1559920.392,,,
MWI,Malawi,ssa,Urban,fuelwood,2020,1306980.446,1568355.291,1568355.291,,,
MWI,Malawi,ssa,Urban,fuelwood,2021,1306800.864,1573681.2,1573681.2,,,
MWI,Malawi,ssa,Urban,fuelwood,2022,1303410.984,1575642.611,1575642.611,,,
MWI,Malawi,ssa,Urban,fuelwood,2023,1296551.249,1573951.328,1573951.328,,,
MWI,Malawi,ssa,Urban,fuelwood,2024,1285953.728,1568308.659,1568308.659,,,
MWI,Malawi,ssa,Urban,fuelwood,2025,1288894.571,1577801.887,1577801.887,,,
MWI,Malawi,ssa,Urban,fuelwood,2026,1289049.157,1584390.782,1584390.782,,,
MWI,Malawi,ssa,Urban,fuelwood,2027,1286223.346,1587858.435,1587858.435,,,
MWI,Malawi,ssa,Urban,fuelwood,2028,1280209.446,1587970.691,1587970.691,,,
MWI,Malawi,ssa,Urban,fuelwood,2029,1270796.745,1584488.746,1584488.746,,,
MWI,Malawi,ssa,Urban,fuelwood,2030,1257783.172,1577183.436,1577183.436,,,
MWI,Malawi,ssa,Urban,fuelwood,2031,1240974.914,1565834.78,1565834.78,,,
MWI,Malawi,ssa,Urban,fuelwood,2032,1220186.253,1550231.789,1550231.789,,,
MWI,Malawi,ssa,Urban,fuelwood,2033,1195225.741,1530154.781,1530154.781,,,
MWI,Malawi,ssa,Urban,fuelwood,2034,1165884.603,1505359.667,1505359.667,,,
MWI,Malawi,ssa,Urban,fuelwood,2035,1132342.664,1476105.364,1476105.364,,,
MWI,Malawi,ssa,Urban,fuelwood,2036,1094361.848,1442117.291,1442117.291,,,
MWI,Malawi,ssa,Urban,fuelwood,2037,1051767.007,1403201.279,1403201.279,,,
MWI,Malawi,ssa,Urban,fuelwood,2038,1004390.488,1359173.098,1359173.098,,,
MWI,Malawi,ssa,Urban,fuelwood,2039,952065.2013,1309849.659,1309849.659,,,
MWI,Malawi,ssa,Urban,fuelwood,2040,894620.0224,1255042.837,1255042.837,,,
MWI,Malawi,ssa,Urban,fuelwood,2041,831877.7866,1194556.259,1194556.259,,,
MWI,Malawi,ssa,Urban,fuelwood,2042,763660.329,1128191.773,1128191.773,,,
MWI,Malawi,ssa,Urban,fuelwood,2043,689792.3787,1055754.926,1055754.926,,,
MWI,Malawi,ssa,Urban,fuelwood,2044,610099.4071,977051.9318,977051.9318,,,
MWI,Malawi,ssa,Urban,fuelwood,2045,524407.354,891889.0586,891889.0586,,,
MWI,Malawi,ssa,Urban,fuelwood,2046,432543.3,800073.2873,800073.2873,,,
MWI,Malawi,ssa,Urban,fuelwood,2047,334336.1611,701412.8595,701412.8595,,,
MWI,Malawi,ssa,Urban,fuelwood,2048,229618.3767,595719.7351,595719.7351,,,
MWI,Malawi,ssa,Urban,fuelwood,2049,118226.0025,482809.1026,482809.1026,,,
MWI,Malawi,ssa,Urban,fuelwood,2050,0,362501.3851,362501.3851,,,
MWI,Malawi,ssa,Urban,charcoal,2000,1925854.838,1925854.838,1222764.976,,,
MWI,Malawi,ssa,Urban,charcoal,2001,2067310.493,2067310.493,1312578.091,,,
MWI,Malawi,ssa,Urban,charcoal,2002,2216432.708,2216432.708,1407258.863,,,
MWI,Malawi,ssa,Urban,charcoal,2003,2373453.324,2373453.324,1506954.491,,,
MWI,Malawi,ssa,Urban,charcoal,2004,2538697.876,2538697.876,1611871.668,,,
MWI,Malawi,ssa,Urban,charcoal,2005,2743426.794,2743426.794,1741858.282,,,
MWI,Malawi,ssa,Urban,charcoal,2006,2961163.499,2961163.499,1880103.809,,,
MWI,Malawi,ssa,Urban,charcoal,2007,3192414.675,3192414.675,2026929.952,,,
MWI,Malawi,ssa,Urban,charcoal,2008,3437883.779,3437883.779,2182783.352,,,
MWI,Malawi,ssa,Urban,charcoal,2009,3697735.826,3697735.826,2347768.778,,,
MWI,Malawi,ssa,Urban,charcoal,2010,3972887.841,4390041.065,2787327.66,,,
MWI,Malawi,ssa,Urban,charcoal,2011,4263835.833,4711538.596,2991453.077,,,
MWI,Malawi,ssa,Urban,charcoal,2012,4571300.396,5051286.938,3207166.31,,,
MWI,Malawi,ssa,Urban,charcoal,2013,4896264.299,5410372.051,3435156.857,,,
MWI,Malawi,ssa,Urban,charcoal,2014,5239883.087,5790070.811,3676235.436,,,
MWI,Malawi,ssa,Urban,charcoal,2015,5603263.204,6191605.841,3931178.312,,,
MWI,Malawi,ssa,Urban,charcoal,2016,5987334.539,6616004.666,4200637.883,,,
MWI,Malawi,ssa,Urban,charcoal,2017,6392846.179,7064095.028,4485139.7,,,
MWI,Malawi,ssa,Urban,charcoal,2018,6820539.671,7536696.337,4785204.023,,,
MWI,Malawi,ssa,Urban,charcoal,2019,7271056.867,8034517.838,5101281.167,,,
MWI,Malawi,ssa,Urban,charcoal,2020,7745033.977,8558262.544,5433817.488,,,
MWI,Malawi,ssa,Urban,charcoal,2021,8243204.565,9108741.044,5783327.647,,,
MWI,Malawi,ssa,Urban,charcoal,2022,8766298.646,9686760.004,6150323.812,,,
MWI,Malawi,ssa,Urban,charcoal,2023,9314874.477,10292936.3,6535197.649,,,
MWI,Malawi,ssa,Urban,charcoal,2024,9889400.194,10927787.21,6938277.597,,,
MWI,Malawi,ssa,Urban,charcoal,2025,10396834.87,11488502.53,7294287.322,,,
MWI,Malawi,ssa,Urban,charcoal,2026,10923365.02,12070318.35,7663694.191,,,
MWI,Malawi,ssa,Urban,charcoal,2027,11469127.53,12673385.93,8046594.238,,,
MWI,Malawi,ssa,Urban,charcoal,2028,12034096.29,13297676.4,8442969.145,,,
MWI,Malawi,ssa,Urban,charcoal,2029,12618142.45,13943047.41,8852728.515,,,
MWI,Malawi,ssa,Urban,charcoal,2030,13221130.01,14609348.66,9275776.926,,,
MWI,Malawi,ssa,Urban,charcoal,2031,13842913.56,15296419.49,9712012.372,,,
MWI,Malawi,ssa,Urban,charcoal,2032,14483337.68,16004088.14,10161325.8,,,
MWI,Malawi,ssa,Urban,charcoal,2033,15142062.9,16731979.5,10623479.05,,,
MWI,Malawi,ssa,Urban,charcoal,2034,15818347.78,17479274.3,11097951.94,,,
MWI,Malawi,ssa,Urban,charcoal,2035,16516826.08,18251092.82,11587995.44,,,
MWI,Malawi,ssa,Urban,charcoal,2036,17236961.27,19046842.21,12093233.15,,,
MWI,Malawi,ssa,Urban,charcoal,2037,17979001.9,19866797.1,12613839.43,,,
MWI,Malawi,ssa,Urban,charcoal,2038,18743319.27,20711367.8,13150074.79,,,
MWI,Malawi,ssa,Urban,charcoal,2039,19530326.69,21581010.99,13702229.2,,,
MWI,Malawi,ssa,Urban,charcoal,2040,20340396.62,22476138.26,14270563.97,,,
MWI,Malawi,ssa,Urban,charcoal,2041,21173782.97,23397030.18,14855257.26,,,
MWI,Malawi,ssa,Urban,charcoal,2042,22030685.97,24343908,15456449.52,,,
MWI,Malawi,ssa,Urban,charcoal,2043,22911341.97,25317032.88,16074306.59,,,
MWI,Malawi,ssa,Urban,charcoal,2044,23815973.6,26316650.83,16708984.65,,,
MWI,Malawi,ssa,Urban,charcoal,2045,24744764.52,27342964.8,17360612.57,,,
MWI,Malawi,ssa,Urban,charcoal,2046,25697851.54,28396125.95,18029286.32,,,
MWI,Malawi,ssa,Urban,charcoal,2047,26675305.29,29476212.35,18715055.46,,,
MWI,Malawi,ssa,Urban,charcoal,2048,27677176.06,30583279.55,19417955.27,,,
MWI,Malawi,ssa,Urban,charcoal,2049,28703444.91,31717306.62,20137972.46,,,
MWI,Malawi,ssa,Urban,charcoal,2050,29754069.19,32878246.45,20875077.11,,,
MWI,Malawi,ssa,Urban,Imp_fuelwood,2000,0,0,0,,,
MWI,Malawi,ssa,Urban,Imp_fuelwood,2001,0,0,0,,,
MWI,Malawi,ssa,Urban,Imp_fuelwood,2002,0,0,0,,,
