iso3;country;region;area;fuel;year;fuel_tons1;fuel_tons2;fuel_tons3;;Includes corrections of previous error in charcoal demand;;;;;Residential fuel mass in Mton (GWh for elec);;;;;;;;;;;;;;;;Plots for presentation;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2010;1181067;1383674;1;;fuel_tons1;"residential only - pulls directly from ""BAU_fuel_cons""";;;;*;2010;2015;2020;2025;2030;2035;2040;2045;2050;;;;;;;;2010;2015;2020;2025;2030;2035;2040;2045;2050
MWI;Malawi;ssa;Urban;fuelwood;2011;1201470;1410044;1;;fuel_tons2;adds non-residential demand to fuel_tons1;;;;fuelwood;8.2;8.8;9.3;9.6;9.3;8.6;7.5;6.1;4.2;;;;;;;Residential wood;8.2;8.8;9.3;9.6;9.3;8.6;7.5;6.1;4.2
MWI;Malawi;ssa;Urban;fuelwood;2012;1220421;1434951;1;;fuel_tons3;Near-zero demand to allow regeneration;;;;Charcoal;4.1;6.7;10.0;14.3;19.9;26.4;33.8;42.1;51.2;;;;;;;Residential charcoal (wood-eq);4.1;6.7;10.0;14.3;19.9;26.4;33.8;42.1;51.2
MWI;Malawi;ssa;Urban;fuelwood;2013;1237853;1458330;1;;;;;;;Imp_fuelwood;0.0;0.0;0.0;0.1;0.1;0.2;0.3;0.5;0.6;;;;;;;Non-residential wood;1.7;1.9;2.1;2.2;2.4;2.5;2.6;2.6;2.7
MWI;Malawi;ssa;Urban;fuelwood;2014;1253713;1480132;1;;;;;;;Imp_charcoal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;;;;;;;Non-residential charcoal (wood-eq);0.4;0.7;1.0;1.4;1.9;2.5;3.2;4.0;4.8
MWI;Malawi;ssa;Urban;fuelwood;2015;1267903;1500260;1;;;;;;;Kerosene;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2016;1280263;1518542;1;;;;;;;gas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2017;1290580;1534745;1;;;;;;;biogas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2018;1298634;1548627;1;;;;;;;electric;0.3;0.3;0.3;0.3;0.3;0.3;0.2;0.1;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2019;1304182;1559920;1;;;;;;;pellets;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2020;1306980;1568355;1;;;;;;;ethanol;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2021;1306801;1573681;1;;;;;;;Total woodfuel;12.2;15.5;19.3;23.9;29.2;35.0;41.3;48.1;55.3;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2022;1303411;1575643;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2023;1296551;1573951;1;;;;;;;Non-Residential fuel mass in Mton (GWh for elec);;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2024;1285954;1568309;1;;;;;;;*;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2025;1288895;1577802;1;;;;;;;fuelwood;1.7;1.9;2.1;2.2;2.4;2.5;2.6;2.6;2.7;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2026;1289049;1584391;1;;;;;;;Charcoal;0.4;0.7;1.0;1.4;1.9;2.5;3.2;4.0;4.8;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2027;1286223;1587858;1;;;;;;;Imp_fuelwood;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2028;1280209;1587971;1;;;;;;;Imp_charcoal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2029;1270797;1584489;1;;;;;;;Kerosene;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2030;1257783;1577183;1;;;;;;;gas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2031;1240975;1565835;1;;;;;;;biogas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2032;1220186;1550232;1;;;;;;;electric;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2033;1195226;1530155;1;;;;;;;pellets;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2034;1165885;1505360;1;;;;;;;ethanol;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2035;1132343;1476105;1;;;;;;;Total woodfuel;2.1;2.6;3.1;3.6;4.3;5.0;5.8;6.6;7.5;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2036;1094362;1442117;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2037;1051767;1403201;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2038;1004390;1359173;1;;;;;;;All sectors - fuel mass in Mton (GWh for elec);;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2039;952065;1309850;1;;;;;;;*;2010;2015;2020;2025;2030;2035;2040;2045;2050;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2040;894620;1255043;1;;;;;;;fuelwood;9.9;10.7;11.4;11.9;11.7;11.1;10.1;8.7;6.8;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2041;831878;1194556;1;;;;;;;Charcoal;4.5;7.3;11.0;15.7;21.8;28.9;37.0;46.0;56.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2042;763660;1128192;1;;;;;;;Imp_fuelwood;0.0;0.0;0.0;0.1;0.1;0.2;0.3;0.5;0.6;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2043;689792;1055755;1;;;;;;;Imp_charcoal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2044;610099;977052;1;;;;;;;Kerosene;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2045;524407;891889;1;;;;;;;gas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2046;432543;800073;1;;;;;;;biogas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2047;334336;701413;1;;;;;;;electric;0.3;0.3;0.3;0.3;0.3;0.3;0.2;0.1;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2048;229618;595720;1;;;;;;;pellets;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2049;118226;482809;1;;;;;;;ethanol;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;fuelwood;2050;0;362501;1;;;;;;;Total woodfuel;14.4;18.0;22.4;27.6;33.5;40.0;47.1;54.7;62.8;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2010;3972888;4390041;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2011;4263836;4711539;1;;;;;;% Non-residential;of residential;17%;17%;16%;15%;15%;14%;14%;14%;14%;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2012;4571300;5051287;1;;;;;;;of total;15%;14%;14%;13%;13%;13%;12%;12%;12%;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2013;4896264;5410372;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2014;5239883;5790071;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;charcoal;2015;5603263;6191606;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
