iso3,country,region,area,fuel,year,people,pc_fuel,fuel_tons3
ZMB,Lusaka,ssa,Urban,fuelwood,2010,165.6799984,0.44,72899.19931
ZMB,Lusaka,ssa,Urban,fuelwood,2011,181.2580673,0.44,79753.5496
ZMB,Lusaka,ssa,Urban,fuelwood,2012,197.5180444,0.44,86907.93952
ZMB,Lusaka,ssa,Urban,fuelwood,2013,214.4599297,0.44,94362.36906
ZMB,Lusaka,ssa,Urban,fuelwood,2014,232.0837232,0.44,102116.8382
ZMB,Lusaka,ssa,Urban,fuelwood,2015,250.389425,0.44,110171.347
ZMB,Lusaka,ssa,Urban,fuelwood,2016,274.2673937,0.44,120677.6532
ZMB,Lusaka,ssa,Urban,fuelwood,2017,299.1329181,0.44,131618.4839
ZMB,Lusaka,ssa,Urban,fuelwood,2018,324.985998,0.44,142993.8391
ZMB,Lusaka,ssa,Urban,fuelwood,2019,351.8266337,0.44,154803.7188
ZMB,Lusaka,ssa,Urban,fuelwood,2020,379.654825,0.44,167048.123
ZMB,Lusaka,ssa,Urban,fuelwood,2021,398.3324971,0.44,175266.2987
ZMB,Lusaka,ssa,Urban,fuelwood,2022,417.4497209,0.44,183677.8772
ZMB,Lusaka,ssa,Urban,fuelwood,2023,437.0064962,0.44,192282.8583
ZMB,Lusaka,ssa,Urban,fuelwood,2024,431.935372,0.44,190051.5637
ZMB,Lusaka,ssa,Urban,fuelwood,2025,426.3393906,0.44,187589.3319
ZMB,Lusaka,ssa,Urban,fuelwood,2026,426.8514725,0.44,187814.6479
ZMB,Lusaka,ssa,Urban,fuelwood,2027,426.3914529,0.44,187612.2393
ZMB,Lusaka,ssa,Urban,fuelwood,2028,424.959332,0.44,186982.1061
ZMB,Lusaka,ssa,Urban,fuelwood,2029,422.5551096,0.44,185924.2482
ZMB,Lusaka,ssa,Urban,fuelwood,2030,419.1787859,0.44,184438.6658
ZMB,Lusaka,ssa,Urban,fuelwood,2031,415.8884974,0.44,182990.9388
ZMB,Lusaka,ssa,Urban,fuelwood,2032,411.5402939,0.44,181077.7293
ZMB,Lusaka,ssa,Urban,fuelwood,2033,406.1341754,0.44,178699.0372
ZMB,Lusaka,ssa,Urban,fuelwood,2034,399.6701419,0.44,175854.8625
ZMB,Lusaka,ssa,Urban,fuelwood,2035,392.1481935,0.44,172545.2051
