iso3,country,region,area,fuel,year,fuel_tons1,fuel_tons2,fuel_tons3,,Includes corrections of previous error in charcoal demand,
MWI,Malawi,ssa,Urban,fuelwood,2010,1181067.353,1383673.666,1383673.666,,fuel_tons1,"residential only - pulls directly from ""BAU_fuel_cons"""
MWI,Malawi,ssa,Urban,fuelwood,2011,1201469.715,1410043.642,1410043.642,,fuel_tons2,adds non-residential demand to fuel_tons1
MWI,Malawi,ssa,Urban,fuelwood,2012,1220421.083,1434951.218,1434951.218,,fuel_tons3,adjusted to test impact of changing wood:charc eff to 4:1
MWI,Malawi,ssa,Urban,fuelwood,2013,1237853.096,1458329.771,1458329.771,,,
MWI,Malawi,ssa,Urban,fuelwood,2014,1253712.597,1480131.835,1480131.835,,,
MWI,Malawi,ssa,Urban,fuelwood,2015,1267902.95,1500260.084,1500260.084,,,
MWI,Malawi,ssa,Urban,fuelwood,2016,1280263.162,1518542.242,1518542.242,,,
MWI,Malawi,ssa,Urban,fuelwood,2017,1290580.255,1534745.063,1534745.063,,,
MWI,Malawi,ssa,Urban,fuelwood,2018,1298634.16,1548627.174,1548627.174,,,
MWI,Malawi,ssa,Urban,fuelwood,2019,1304182.148,1559920.392,1559920.392,,,
MWI,Malawi,ssa,Urban,fuelwood,2020,1306980.446,1568355.291,1568355.291,,,
MWI,Malawi,ssa,Urban,fuelwood,2021,1306800.864,1573681.2,1573681.2,,,
MWI,Malawi,ssa,Urban,fuelwood,2022,1303410.984,1575642.611,1575642.611,,,
MWI,Malawi,ssa,Urban,fuelwood,2023,1296551.249,1573951.328,1573951.328,,,
MWI,Malawi,ssa,Urban,fuelwood,2024,1285953.728,1568308.659,1568308.659,,,
MWI,Malawi,ssa,Urban,fuelwood,2025,1288894.571,1577801.887,1577801.887,,,
MWI,Malawi,ssa,Urban,fuelwood,2026,1289049.157,1584390.782,1584390.782,,,
MWI,Malawi,ssa,Urban,fuelwood,2027,1286223.346,1587858.435,1587858.435,,,
MWI,Malawi,ssa,Urban,fuelwood,2028,1280209.446,1587970.691,1587970.691,,,
MWI,Malawi,ssa,Urban,fuelwood,2029,1270796.745,1584488.746,1584488.746,,,
MWI,Malawi,ssa,Urban,fuelwood,2030,1257783.172,1577183.436,1577183.436,,,
MWI,Malawi,ssa,Urban,fuelwood,2031,1240974.914,1565834.78,1565834.78,,,
MWI,Malawi,ssa,Urban,fuelwood,2032,1220186.253,1550231.789,1550231.789,,,
MWI,Malawi,ssa,Urban,fuelwood,2033,1195225.741,1530154.781,1530154.781,,,
MWI,Malawi,ssa,Urban,fuelwood,2034,1165884.603,1505359.667,1505359.667,,,
MWI,Malawi,ssa,Urban,fuelwood,2035,1132342.664,1476105.364,1476105.364,,,
MWI,Malawi,ssa,Urban,fuelwood,2036,1094361.848,1442117.291,1442117.291,,,
MWI,Malawi,ssa,Urban,fuelwood,2037,1051767.007,1403201.279,1403201.279,,,
MWI,Malawi,ssa,Urban,fuelwood,2038,1004390.488,1359173.098,1359173.098,,,
MWI,Malawi,ssa,Urban,fuelwood,2039,952065.2013,1309849.659,1309849.659,,,
MWI,Malawi,ssa,Urban,fuelwood,2040,894620.0224,1255042.837,1255042.837,,,
MWI,Malawi,ssa,Urban,fuelwood,2041,831877.7866,1194556.259,1194556.259,,,
MWI,Malawi,ssa,Urban,fuelwood,2042,763660.329,1128191.773,1128191.773,,,
MWI,Malawi,ssa,Urban,fuelwood,2043,689792.3787,1055754.926,1055754.926,,,
MWI,Malawi,ssa,Urban,fuelwood,2044,610099.4071,977051.9318,977051.9318,,,
MWI,Malawi,ssa,Urban,fuelwood,2045,524407.354,891889.0586,891889.0586,,,
MWI,Malawi,ssa,Urban,fuelwood,2046,432543.3,800073.2873,800073.2873,,,
MWI,Malawi,ssa,Urban,fuelwood,2047,334336.1611,701412.8595,701412.8595,,,
MWI,Malawi,ssa,Urban,fuelwood,2048,229618.3767,595719.7351,595719.7351,,,
MWI,Malawi,ssa,Urban,fuelwood,2049,118226.0025,482809.1026,482809.1026,,,
MWI,Malawi,ssa,Urban,fuelwood,2050,0,362501.3851,362501.3851,,,
MWI,Malawi,ssa,Urban,charcoal,2010,3972887.841,4390041.065,2787327.66,,,
MWI,Malawi,ssa,Urban,charcoal,2011,4263835.833,4711538.596,2991453.077,,,
MWI,Malawi,ssa,Urban,charcoal,2012,4571300.396,5051286.938,3207166.31,,,
MWI,Malawi,ssa,Urban,charcoal,2013,4896264.299,5410372.051,3435156.857,,,
MWI,Malawi,ssa,Urban,charcoal,2014,5239883.087,5790070.811,3676235.436,,,
