GID_0,fueltype,CO2,CH4,N2O,units are tCO2e/ton (and tCO2e/MWh for electricity)
AGO,biogas,0,1.825610312,0.001513812,
AGO,Biomass,1.7472,0.12636,0.0170352,
AGO,Charcoal,6.20812564,2.568355768,0.10647,
AGO,Coal,2.45212,0.28100208,0.0105651,
AGO,Electricity,0.831933778,0.016322352,0.001013997,
AGO,Ethanol,0,0.4919086,0.346437,
AGO,Gas,3.724875,0.156897,0.002457,
AGO,Imp_biomass,1.520808,0.2767824,0,
AGO,Imp_charcoal,6.20812564,2.834703773,0.10647,
AGO,Kerosene,3.5362415,0.127257324,0.121229199,
AGO,Pellets,0,0.04543016,0.006552,
ARG,biogas,0,1.825610312,0.001513812,
ARG,Biomass,1.7472,0.12636,0.0170352,
ARG,Charcoal,6.20812564,2.568355768,0.10647,
ARG,Coal,2.45212,0.28100208,0.0105651,
ARG,Electricity,0.330423495,0,0,
ARG,Ethanol,0,0.4919086,0.346437,
ARG,Gas,3.724875,0.156897,0.002457,
ARG,Imp_biomass,1.520808,0.2767824,0,
ARG,Imp_charcoal,6.20812564,2.834703773,0.10647,
ARG,Kerosene,3.5362415,0.127257324,0.121229199,
ARG,Pellets,0,0.04543016,0.006552,
BDI,biogas,0,1.825610312,0.001513812,
BDI,Biomass,1.7472,0.12636,0.0170352,
BDI,Charcoal,6.20812564,2.568355768,0.10647,
BDI,Coal,2.45212,0.28100208,0.0105651,
BDI,Electricity,0.220156707,0.020819527,0.001324384,
BDI,Ethanol,0,0.4919086,0.346437,
BDI,Gas,3.724875,0.156897,0.002457,
BDI,Imp_biomass,1.520808,0.2767824,0,
BDI,Imp_charcoal,6.20812564,2.834703773,0.10647,
BDI,Kerosene,3.5362415,0.127257324,0.121229199,
BDI,Pellets,0,0.04543016,0.006552,
BEN,biogas,0,1.825610312,0.001513812,
BEN,Biomass,1.7472,0.12636,0.0170352,
BEN,Charcoal,6.20812564,2.568355768,0.10647,
BEN,Coal,2.45212,0.28100208,0.0105651,
BEN,Electricity,0.643364093,0.032866813,0.002040492,
BEN,Ethanol,0,0.4919086,0.346437,
BEN,Gas,3.724875,0.156897,0.002457,
BEN,Imp_biomass,1.520808,0.2767824,0,
BEN,Imp_charcoal,6.20812564,2.834703773,0.10647,
BEN,Kerosene,3.5362415,0.127257324,0.121229199,
BEN,Pellets,0,0.04543016,0.006552,
BFA,biogas,0,1.825610312,0.001513812,
BFA,Biomass,1.7472,0.12636,0.0170352,
BFA,Charcoal,6.20812564,2.568355768,0.10647,
BFA,Coal,2.45212,0.28100208,0.0105651,
BFA,Electricity,0.6023913,0.020819527,0.001324384,
BFA,Ethanol,0,0.4919086,0.346437,
BFA,Gas,3.724875,0.156897,0.002457,
BFA,Imp_biomass,1.520808,0.2767824,0,
BFA,Imp_charcoal,6.20812564,2.834703773,0.10647,
BFA,Kerosene,3.5362415,0.127257324,0.121229199,
BFA,Pellets,0,0.04543016,0.006552,
BGD,biogas,0,1.825610312,0.001513812,
BGD,Biomass,1.7472,0.12636,0.0170352,
BGD,Charcoal,6.20812564,2.568355768,0.10647,
BGD,Coal,2.45212,0.28100208,0.0105651,
BGD,Electricity,0.458654268,0.037991016,0.001861879,
BGD,Ethanol,0,0.4919086,0.346437,
BGD,Gas,3.724875,0.156897,0.002457,
BGD,Imp_biomass,1.520808,0.2767824,0,
BGD,Imp_charcoal,6.20812564,2.834703773,0.10647,
BGD,Kerosene,3.5362415,0.127257324,0.121229199,
BGD,Pellets,0,0.04543016,0.006552,
BLZ,biogas,0,1.825610312,0.001513812,
BLZ,Biomass,1.7472,0.12636,0.0170352,
BLZ,Charcoal,6.20812564,2.568355768,0.10647,
BLZ,Coal,2.45212,0.28100208,0.0105651,
BLZ,Electricity,0.209095897,0,0,
BLZ,Ethanol,0,0.4919086,0.346437,
BLZ,Gas,3.724875,0.156897,0.002457,
BLZ,Imp_biomass,1.520808,0.2767824,0,
BLZ,Imp_charcoal,6.20812564,2.834703773,0.10647,
BLZ,Kerosene,3.5362415,0.127257324,0.121229199,
BLZ,Pellets,0,0.04543016,0.006552,
BOL,biogas,0,1.825610312,0.001513812,
BOL,Biomass,1.7472,0.12636,0.0170352,
BOL,Charcoal,6.20812564,2.568355768,0.10647,
BOL,Coal,2.45212,0.28100208,0.0105651,
BOL,Electricity,0,0.026257055,0.001201376,
BOL,Ethanol,0,0.4919086,0.346437,
BOL,Gas,3.724875,0.156897,0.002457,
BOL,Imp_biomass,1.520808,0.2767824,0,
BOL,Imp_charcoal,6.20812564,2.834703773,0.10647,
BOL,Kerosene,3.5362415,0.127257324,0.121229199,
BOL,Pellets,0,0.04543016,0.006552,
BRA,biogas,0,1.825610312,0.001513812,
BRA,Biomass,1.7472,0.12636,0.0170352,
BRA,Charcoal,6.20812564,2.568355768,0.10647,
BRA,Coal,2.45212,0.28100208,0.0105651,
BRA,Electricity,0.173690625,0.010730403,0.000649117,
BRA,Ethanol,0,0.4919086,0.346437,
BRA,Gas,3.724875,0.156897,0.002457,
BRA,Imp_biomass,1.520808,0.2767824,0,
BRA,Imp_charcoal,6.20812564,2.834703773,0.10647,
BRA,Kerosene,3.5362415,0.127257324,0.121229199,
BRA,Pellets,0,0.04543016,0.006552,
BTN,biogas,0,1.825610312,0.001513812,
BTN,Biomass,1.7472,0.12636,0.0170352,
BTN,Charcoal,6.20812564,2.568355768,0.10647,
BTN,Coal,2.45212,0.28100208,0.0105651,
BTN,Electricity,0,0,0,
BTN,Ethanol,0,0.4919086,0.346437,
BTN,Gas,3.724875,0.156897,0.002457,
BTN,Imp_biomass,1.520808,0.2767824,0,
BTN,Imp_charcoal,6.20812564,2.834703773,0.10647,
BTN,Kerosene,3.5362415,0.127257324,0.121229199,
BTN,Pellets,0,0.04543016,0.006552,
BWA,biogas,0,1.825610312,0.001513812,
BWA,Biomass,1.7472,0.12636,0.0170352,
BWA,Charcoal,6.20812564,2.568355768,0.10647,
BWA,Coal,2.45212,0.28100208,0.0105651,
BWA,Electricity,1.188259071,0.076717577,0.006202413,
BWA,Ethanol,0,0.4919086,0.346437,
BWA,Gas,3.724875,0.156897,0.002457,
BWA,Imp_biomass,1.520808,0.2767824,0,
BWA,Imp_charcoal,6.20812564,2.834703773,0.10647,
BWA,Kerosene,3.5362415,0.127257324,0.121229199,
BWA,Pellets,0,0.04543016,0.006552,
CAF,biogas,0,1.825610312,0.001513812,
CAF,Biomass,1.7472,0.12636,0.0170352,
CAF,Charcoal,6.20812564,2.568355768,0.10647,
CAF,Coal,2.45212,0.28100208,0.0105651,
CAF,Electricity,0.085530022,0.020819527,0.001324384,
CAF,Ethanol,0,0.4919086,0.346437,
CAF,Gas,3.724875,0.156897,0.002457,
CAF,Imp_biomass,1.520808,0.2767824,0,
CAF,Imp_charcoal,6.20812564,2.834703773,0.10647,
CAF,Kerosene,3.5362415,0.127257324,0.121229199,
CAF,Pellets,0,0.04543016,0.006552,
CIV,biogas,0,1.825610312,0.001513812,
CIV,Biomass,1.7472,0.12636,0.0170352,
CIV,Charcoal,6.20812564,2.568355768,0.10647,
CIV,Coal,2.45212,0.28100208,0.0105651,
CIV,Electricity,0,0.031775383,0.001468099,
CIV,Ethanol,0,0.4919086,0.346437,
CIV,Gas,3.724875,0.156897,0.002457,
CIV,Imp_biomass,1.520808,0.2767824,0,
CIV,Imp_charcoal,6.20812564,2.834703773,0.10647,
CIV,Kerosene,3.5362415,0.127257324,0.121229199,
CIV,Pellets,0,0.04543016,0.006552,
CMR,biogas,0,1.825610312,0.001513812,
CMR,Biomass,1.7472,0.12636,0.0170352,
CMR,Charcoal,6.20812564,2.568355768,0.10647,
CMR,Coal,2.45212,0.28100208,0.0105651,
CMR,Electricity,0.393521094,0.008564708,0.000493905,
CMR,Ethanol,0,0.4919086,0.346437,
CMR,Gas,3.724875,0.156897,0.002457,
CMR,Imp_biomass,1.520808,0.2767824,0,
CMR,Imp_charcoal,6.20812564,2.834703773,0.10647,
CMR,Kerosene,3.5362415,0.127257324,0.121229199,
CMR,Pellets,0,0.04543016,0.006552,
COD,biogas,0,1.825610312,0.001513812,
COD,Biomass,1.7472,0.12636,0.0170352,
COD,Charcoal,6.20812564,2.568355768,0.10647,
COD,Coal,2.45212,0.28100208,0.0105651,
COD,Electricity,0.000453196,0.000116801,8.22199E-06,
COD,Ethanol,0,0.4919086,0.346437,
COD,Gas,3.724875,0.156897,0.002457,
COD,Imp_biomass,1.520808,0.2767824,0,
COD,Imp_charcoal,6.20812564,2.834703773,0.10647,
COD,Kerosene,3.5362415,0.127257324,0.121229199,
COD,Pellets,0,0.04543016,0.006552,
COG,biogas,0,1.825610312,0.001513812,
COG,Biomass,1.7472,0.12636,0.0170352,
COG,Charcoal,6.20812564,2.568355768,0.10647,
COG,Coal,2.45212,0.28100208,0.0105651,
COG,Electricity,0.585779852,0.017930783,0.000812121,
COG,Ethanol,0,0.4919086,0.346437,
COG,Gas,3.724875,0.156897,0.002457,
COG,Imp_biomass,1.520808,0.2767824,0,
COG,Imp_charcoal,6.20812564,2.834703773,0.10647,
COG,Kerosene,3.5362415,0.127257324,0.121229199,
COG,Pellets,0,0.04543016,0.006552,
COL,biogas,0,1.825610312,0.001513812,
COL,Biomass,1.7472,0.12636,0.0170352,
COL,Charcoal,6.20812564,2.568355768,0.10647,
COL,Coal,2.45212,0.28100208,0.0105651,
COL,Electricity,0.230588816,0.016936242,0.001104232,
COL,Ethanol,0,0.4919086,0.346437,
COL,Gas,3.724875,0.156897,0.002457,
COL,Imp_biomass,1.520808,0.2767824,0,
COL,Imp_charcoal,6.20812564,2.834703773,0.10647,
COL,Kerosene,3.5362415,0.127257324,0.121229199,
COL,Pellets,0,0.04543016,0.006552,
COM,biogas,0,1.825610312,0.001513812,
COM,Biomass,1.7472,0.12636,0.0170352,
COM,Charcoal,6.20812564,2.568355768,0.10647,
COM,Coal,2.45212,0.28100208,0.0105651,
COM,Electricity,0.658278269,0,0,
COM,Ethanol,0,0.4919086,0.346437,
COM,Gas,3.724875,0.156897,0.002457,
COM,Imp_biomass,1.520808,0.2767824,0,
COM,Imp_charcoal,6.20812564,2.834703773,0.10647,
COM,Kerosene,3.5362415,0.127257324,0.121229199,
COM,Pellets,0,0.04543016,0.006552,
CRI,biogas,0,1.825610312,0.001513812,
CRI,Biomass,1.7472,0.12636,0.0170352,
CRI,Charcoal,6.20812564,2.568355768,0.10647,
CRI,Coal,2.45212,0.28100208,0.0105651,
CRI,Electricity,0.043100481,0,0,
CRI,Ethanol,0,0.4919086,0.346437,
CRI,Gas,3.724875,0.156897,0.002457,
CRI,Imp_biomass,1.520808,0.2767824,0,
CRI,Imp_charcoal,6.20812564,2.834703773,0.10647,
CRI,Kerosene,3.5362415,0.127257324,0.121229199,
CRI,Pellets,0,0.04543016,0.006552,
DJI,biogas,0,1.825610312,0.001513812,
DJI,Biomass,1.7472,0.12636,0.0170352,
DJI,Charcoal,6.20812564,2.568355768,0.10647,
DJI,Coal,2.45212,0.28100208,0.0105651,
DJI,Electricity,0.643035599,0,0,
DJI,Ethanol,0,0.4919086,0.346437,
DJI,Gas,3.724875,0.156897,0.002457,
DJI,Imp_biomass,1.520808,0.2767824,0,
DJI,Imp_charcoal,6.20812564,2.834703773,0.10647,
DJI,Kerosene,3.5362415,0.127257324,0.121229199,
DJI,Pellets,0,0.04543016,0.006552,
DOM,biogas,0,1.825610312,0.001513812,
DOM,Biomass,1.7472,0.12636,0.0170352,
DOM,Charcoal,6.20812564,2.568355768,0.10647,
DOM,Coal,2.45212,0.28100208,0.0105651,
DOM,Electricity,0.4781279,0.037135481,0.002355139,
DOM,Ethanol,0,0.4919086,0.346437,
DOM,Gas,3.724875,0.156897,0.002457,
DOM,Imp_biomass,1.520808,0.2767824,0,
DOM,Imp_charcoal,6.20812564,2.834703773,0.10647,
DOM,Kerosene,3.5362415,0.127257324,0.121229199,
DOM,Pellets,0,0.04543016,0.006552,
ECU,biogas,0,1.825610312,0.001513812,
ECU,Biomass,1.7472,0.12636,0.0170352,
ECU,Charcoal,6.20812564,2.568355768,0.10647,
ECU,Coal,2.45212,0.28100208,0.0105651,
ECU,Electricity,0.316215472,0,0,
ECU,Ethanol,0,0.4919086,0.346437,
ECU,Gas,3.724875,0.156897,0.002457,
ECU,Imp_biomass,1.520808,0.2767824,0,
ECU,Imp_charcoal,6.20812564,2.834703773,0.10647,
ECU,Kerosene,3.5362415,0.127257324,0.121229199,
ECU,Pellets,0,0.04543016,0.006552,
ERI,biogas,0,1.825610312,0.001513812,
ERI,Biomass,1.7472,0.12636,0.0170352,
ERI,Charcoal,6.20812564,2.568355768,0.10647,
ERI,Coal,2.45212,0.28100208,0.0105651,
ERI,Electricity,0.794336814,0.034626436,0.002149681,
ERI,Ethanol,0,0.4919086,0.346437,
ERI,Gas,3.724875,0.156897,0.002457,
ERI,Imp_biomass,1.520808,0.2767824,0,
ERI,Imp_charcoal,6.20812564,2.834703773,0.10647,
ERI,Kerosene,3.5362415,0.127257324,0.121229199,
ERI,Pellets,0,0.04543016,0.006552,
ETH,biogas,0,1.825610312,0.001513812,
ETH,Biomass,1.7472,0.12636,0.0170352,
ETH,Charcoal,6.20812564,2.568355768,0.10647,
ETH,Coal,2.45212,0.28100208,0.0105651,
ETH,Electricity,0.000167748,6.25478E-05,5.05441E-06,
ETH,Ethanol,0,0.4919086,0.346437,
ETH,Gas,3.724875,0.156897,0.002457,
ETH,Imp_biomass,1.520808,0.2767824,0,
ETH,Imp_charcoal,6.20812564,2.834703773,0.10647,
ETH,Kerosene,3.5362415,0.127257324,0.121229199,
ETH,Pellets,0,0.04543016,0.006552,
GAB,biogas,0,1.825610312,0.001513812,
GAB,Biomass,1.7472,0.12636,0.0170352,
GAB,Charcoal,6.20812564,2.568355768,0.10647,
GAB,Coal,2.45212,0.28100208,0.0105651,
GAB,Electricity,0.680971624,0,0,
GAB,Ethanol,0,0.4919086,0.346437,
GAB,Gas,3.724875,0.156897,0.002457,
GAB,Imp_biomass,1.520808,0.2767824,0,
GAB,Imp_charcoal,6.20812564,2.834703773,0.10647,
GAB,Kerosene,3.5362415,0.127257324,0.121229199,
GAB,Pellets,0,0.04543016,0.006552,
GHA,biogas,0,1.825610312,0.001513812,
GHA,Biomass,1.7472,0.12636,0.0170352,
GHA,Charcoal,6.20812564,2.568355768,0.10647,
GHA,Coal,2.45212,0.28100208,0.0105651,
GHA,Electricity,0.338325434,0.014933643,0.000676513,
GHA,Ethanol,0,0.4919086,0.346437,
GHA,Gas,3.724875,0.156897,0.002457,
GHA,Imp_biomass,1.520808,0.2767824,0,
GHA,Imp_charcoal,6.20812564,2.834703773,0.10647,
GHA,Kerosene,3.5362415,0.127257324,0.121229199,
GHA,Pellets,0,0.04543016,0.006552,
GIN,biogas,0,1.825610312,0.001513812,
GIN,Biomass,1.7472,0.12636,0.0170352,
GIN,Charcoal,6.20812564,2.568355768,0.10647,
GIN,Coal,2.45212,0.28100208,0.0105651,
GIN,Electricity,0.513508522,0.020819527,0.001324384,
GIN,Ethanol,0,0.4919086,0.346437,
GIN,Gas,3.724875,0.156897,0.002457,
GIN,Imp_biomass,1.520808,0.2767824,0,
GIN,Imp_charcoal,6.20812564,2.834703773,0.10647,
GIN,Kerosene,3.5362415,0.127257324,0.121229199,
GIN,Pellets,0,0.04543016,0.006552,
GMB,biogas,0,1.825610312,0.001513812,
GMB,Biomass,1.7472,0.12636,0.0170352,
GMB,Charcoal,6.20812564,2.568355768,0.10647,
GMB,Coal,2.45212,0.28100208,0.0105651,
GMB,Electricity,0.660358347,0.020819527,0.001324384,
GMB,Ethanol,0,0.4919086,0.346437,
GMB,Gas,3.724875,0.156897,0.002457,
GMB,Imp_biomass,1.520808,0.2767824,0,
GMB,Imp_charcoal,6.20812564,2.834703773,0.10647,
GMB,Kerosene,3.5362415,0.127257324,0.121229199,
GMB,Pellets,0,0.04543016,0.006552,
GNB,biogas,0,1.825610312,0.001513812,
GNB,Biomass,1.7472,0.12636,0.0170352,
GNB,Charcoal,6.20812564,2.568355768,0.10647,
GNB,Coal,2.45212,0.28100208,0.0105651,
GNB,Electricity,0.644996826,0.020819527,0.001324384,
GNB,Ethanol,0,0.4919086,0.346437,
GNB,Gas,3.724875,0.156897,0.002457,
GNB,Imp_biomass,1.520808,0.2767824,0,
GNB,Imp_charcoal,6.20812564,2.834703773,0.10647,
GNB,Kerosene,3.5362415,0.127257324,0.121229199,
GNB,Pellets,0,0.04543016,0.006552,
GNQ,biogas,0,1.825610312,0.001513812,
GNQ,Biomass,1.7472,0.12636,0.0170352,
GNQ,Charcoal,6.20812564,2.568355768,0.10647,
GNQ,Coal,2.45212,0.28100208,0.0105651,
GNQ,Electricity,0.403544909,0,0,
GNQ,Ethanol,0,0.4919086,0.346437,
GNQ,Gas,3.724875,0.156897,0.002457,
GNQ,Imp_biomass,1.520808,0.2767824,0,
GNQ,Imp_charcoal,6.20812564,2.834703773,0.10647,
GNQ,Kerosene,3.5362415,0.127257324,0.121229199,
GNQ,Pellets,0,0.04543016,0.006552,
GTM,biogas,0,1.825610312,0.001513812,
GTM,Biomass,1.7472,0.12636,0.0170352,
GTM,Charcoal,6.20812564,2.568355768,0.10647,
GTM,Coal,2.45212,0.28100208,0.0105651,
GTM,Electricity,0.46750166,0.023096743,0.001753458,
GTM,Ethanol,0,0.4919086,0.346437,
GTM,Gas,3.724875,0.156897,0.002457,
GTM,Imp_biomass,1.520808,0.2767824,0,
GTM,Imp_charcoal,6.20812564,2.834703773,0.10647,
GTM,Kerosene,3.5362415,0.127257324,0.121229199,
GTM,Pellets,0,0.04543016,0.006552,
HND,biogas,0,1.825610312,0.001513812,
HND,Biomass,1.7472,0.12636,0.0170352,
HND,Charcoal,6.20812564,2.568355768,0.10647,
HND,Coal,2.45212,0.28100208,0.0105651,
HND,Electricity,0.484575648,0.020552154,0.001291749,
HND,Ethanol,0,0.4919086,0.346437,
HND,Gas,3.724875,0.156897,0.002457,
HND,Imp_biomass,1.520808,0.2767824,0,
HND,Imp_charcoal,6.20812564,2.834703773,0.10647,
HND,Kerosene,3.5362415,0.127257324,0.121229199,
HND,Pellets,0,0.04543016,0.006552,
HTI,biogas,0,1.825610312,0.001513812,
HTI,Biomass,1.7472,0.12636,0.0170352,
HTI,Charcoal,6.20812564,2.568355768,0.10647,
HTI,Coal,2.45212,0.28100208,0.0105651,
HTI,Electricity,1.224269475,0.032019612,0.001987945,
HTI,Ethanol,0,0.4919086,0.346437,
HTI,Gas,3.724875,0.156897,0.002457,
HTI,Imp_biomass,1.520808,0.2767824,0,
HTI,Imp_charcoal,6.20812564,2.834703773,0.10647,
HTI,Kerosene,3.5362415,0.127257324,0.121229199,
HTI,Pellets,0,0.04543016,0.006552,
IDN,biogas,0,1.825610312,0.001513812,
IDN,Biomass,1.7472,0.12636,0.0170352,
IDN,Charcoal,6.20812564,2.568355768,0.10647,
IDN,Coal,2.45212,0.28100208,0.0105651,
IDN,Electricity,0.737910986,0.05626407,0.004163587,
IDN,Ethanol,0,0.4919086,0.346437,
IDN,Gas,3.724875,0.156897,0.002457,
IDN,Imp_biomass,1.520808,0.2767824,0,
IDN,Imp_charcoal,6.20812564,2.834703773,0.10647,
IDN,Kerosene,3.5362415,0.127257324,0.121229199,
IDN,Pellets,0,0.04543016,0.006552,
IND,biogas,0,1.825610312,0.001513812,
IND,Biomass,1.7472,0.12636,0.0170352,
IND,Charcoal,6.20812564,2.568355768,0.10647,
IND,Coal,2.45212,0.28100208,0.0105651,
IND,Electricity,0.725169479,0.061449159,0.004908307,
IND,Ethanol,0,0.4919086,0.346437,
IND,Gas,3.724875,0.156897,0.002457,
IND,Imp_biomass,1.520808,0.2767824,0,
IND,Imp_charcoal,6.20812564,2.834703773,0.10647,
IND,Kerosene,3.5362415,0.127257324,0.121229199,
IND,Pellets,0,0.04543016,0.006552,
KAZ,biogas,0,1.825610312,0.001513812,
KAZ,Biomass,1.7472,0.12636,0.0170352,
KAZ,Charcoal,6.20812564,2.568355768,0.10647,
KAZ,Coal,2.45212,0.28100208,0.0105651,
KAZ,Electricity,0.568091289,0,0,
KAZ,Ethanol,0,0.4919086,0.346437,
KAZ,Gas,3.724875,0.156897,0.002457,
KAZ,Imp_biomass,1.520808,0.2767824,0,
KAZ,Imp_charcoal,6.20812564,2.834703773,0.10647,
KAZ,Kerosene,3.5362415,0.127257324,0.121229199,
KAZ,Pellets,0,0.04543016,0.006552,
KEN,biogas,0,1.825610312,0.001513812,
KEN,Biomass,1.7472,0.12636,0.0170352,
KEN,Charcoal,6.20812564,2.568355768,0.10647,
KEN,Coal,2.45212,0.28100208,0.0105651,
KEN,Electricity,0.322396868,0.004365607,0.000271522,
KEN,Ethanol,0,0.4919086,0.346437,
KEN,Gas,3.724875,0.156897,0.002457,
KEN,Imp_biomass,1.520808,0.2767824,0,
KEN,Imp_charcoal,6.20812564,2.834703773,0.10647,
KEN,Kerosene,3.5362415,0.127257324,0.121229199,
KEN,Pellets,0,0.04543016,0.006552,
KGZ,biogas,0,1.825610312,0.001513812,
KGZ,Biomass,1.7472,0.12636,0.0170352,
KGZ,Charcoal,6.20812564,2.568355768,0.10647,
KGZ,Coal,2.45212,0.28100208,0.0105651,
KGZ,Electricity,0.120910519,0.010996957,0.000872796,
KGZ,Ethanol,0,0.4919086,0.346437,
KGZ,Gas,3.724875,0.156897,0.002457,
KGZ,Imp_biomass,1.520808,0.2767824,0,
KGZ,Imp_charcoal,6.20812564,2.834703773,0.10647,
KGZ,Kerosene,3.5362415,0.127257324,0.121229199,
KGZ,Pellets,0,0.04543016,0.006552,
KHM,biogas,0,1.825610312,0.001513812,
KHM,Biomass,1.7472,0.12636,0.0170352,
KHM,Charcoal,6.20812564,2.568355768,0.10647,
KHM,Coal,2.45212,0.28100208,0.0105651,
KHM,Electricity,0.72544663,0.039729535,0.003190117,
KHM,Ethanol,0,0.4919086,0.346437,
KHM,Gas,3.724875,0.156897,0.002457,
KHM,Imp_biomass,1.520808,0.2767824,0,
KHM,Imp_charcoal,6.20812564,2.834703773,0.10647,
KHM,Kerosene,3.5362415,0.127257324,0.121229199,
KHM,Pellets,0,0.04543016,0.006552,
LAO,biogas,0,1.825610312,0.001513812,
LAO,Biomass,1.7472,0.12636,0.0170352,
LAO,Charcoal,6.20812564,2.568355768,0.10647,
LAO,Coal,2.45212,0.28100208,0.0105651,
LAO,Electricity,0.554561912,0.036844403,0.002557639,
