GID_0,fueltype,CO2,CH4,N2O,units are tCO2e/ton (and tCO2e/MWh for electricity),,,,,,,
AGO,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
AGO,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
AGO,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
AGO,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
AGO,Electricity,0.831933778,0.016322352,0.001013997,,,,,,,,
AGO,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
AGO,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
AGO,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
AGO,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
AGO,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
AGO,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
ARG,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
ARG,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
ARG,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
ARG,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
ARG,Electricity,0.330423495,0.000000000,0.000000000,,,,,,,,
ARG,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
ARG,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
ARG,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
ARG,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
ARG,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
ARG,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
BDI,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
BDI,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
BDI,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
BDI,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
BDI,Electricity,0.220156707,0.020819527,0.001324384,,,,,,,,
BDI,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
BDI,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
BDI,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
BDI,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
BDI,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
BDI,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
BEN,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
BEN,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
BEN,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
BEN,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
BEN,Electricity,0.643364093,0.032866813,0.002040492,,,,,,,,
BEN,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
BEN,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
BEN,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
BEN,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
BEN,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
BEN,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
BFA,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
BFA,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
BFA,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
BFA,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
BFA,Electricity,0.602391300,0.020819527,0.001324384,,,,,,,,
BFA,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
BFA,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
BFA,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
BFA,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
BFA,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
BFA,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
BGD,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
BGD,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
BGD,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
BGD,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
BGD,Electricity,0.458654268,0.037991016,0.001861879,,,,,,,,
BGD,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
BGD,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
BGD,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
BGD,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
