Key*,LULC,rmax,rmaxSD,K,KSD,TOF
1,SSA_Tropical rainforest_Shrubs,0.38,0.29,81,47,0
2,SSA_Tropical rainforest_Herbaceous vegetation,0.31,0.24,97,54,0
3,SSA_Tropical rainforest_Agriculture,0.55,0.43,55,43,0
4,SSA_Tropical rainforest_Urban built up,0,0,2,2,1
5,SSA_Tropical rainforest_Bare sparse vegetation,0,0,0.3485,0.1742,1
6,SSA_Tropical rainforest_Permanent water bodies,0,0,10,10,1
7,SSA_Tropical rainforest_Herbaceous wetland,0.15,0.12,201,50,0
8,SSA_Tropical rainforest_Closed forest evergreen broad leaf,0.08,0.06,401,25,0
9,SSA_Tropical rainforest_Closed forest deciduous broad leaf,0.17,0.13,178,46,0
10,SSA_Tropical rainforest_Closed forest mixed,0.26,0.2,118,0,0
11,SSA_Tropical rainforest_Closed forest undefined,0.09,0.07,346,18,0
12,SSA_Tropical rainforest_Open forest evergreen broad leaf,0.13,0.1,243,32,0
13,SSA_Tropical rainforest_Open forest deciduous broad leaf,0.24,0.18,128,37,0
14,SSA_Tropical rainforest_Open forest mixed,0.53,0.41,57,0,0
15,SSA_Tropical rainforest_Open forest undefined,0.16,0.13,188,45,0
16,SSA_Tropical rainforest_Oceans seas,0,0,10,10,1
17,SSA_Tropical moist forest_Shrubs,0.26,0.09,45,21,0
18,SSA_Tropical moist forest_Herbaceous vegetation,0.21,0.07,55,19,0
19,SSA_Tropical moist forest_Agriculture,0.31,0.11,38,16,0
20,SSA_Tropical moist forest_Urban built up,0,0,2,2,1
21,SSA_Tropical moist forest_Bare sparse vegetation,0,0,0.4775,0.2387,1
22,SSA_Tropical moist forest_Permanent water bodies,0,0,10,10,1
23,SSA_Tropical moist forest_Herbaceous wetland,0.18,0.06,64,21,0
24,SSA_Tropical moist forest_Closed forest evergreen broad leaf,0.04,0.01,326,19,0
25,SSA_Tropical moist forest_Closed forest deciduous broad leaf,0.08,0.03,138,21,0
26,SSA_Tropical moist forest_Closed forest mixed,0.13,0.05,87,0,0
27,SSA_Tropical moist forest_Closed forest undefined,0.09,0.03,128,29,0
28,SSA_Tropical moist forest_Open forest evergreen broad leaf,0.06,0.02,188,27,0
29,SSA_Tropical moist forest_Open forest deciduous broad leaf,0.12,0.04,95,19,0
30,SSA_Tropical moist forest_Open forest mixed,0.13,0.04,89,10,0
31,SSA_Tropical moist forest_Open forest undefined,0.15,0.05,76,25,0
32,SSA_Tropical moist forest_Oceans seas,0,0,10,10,1
33,SSA_Tropical dry forest_Shrubs,0.43,0.39,36,10,0
34,SSA_Tropical dry forest_Herbaceous vegetation,0.42,0.38,37,27,0
35,SSA_Tropical dry forest_Agriculture,0.45,0.4,35,12,0
36,SSA_Tropical dry forest_Urban built up,0,0,2,2,1
37,SSA_Tropical dry forest_Bare sparse vegetation,0,0,0.0343,0.0171,1
38,SSA_Tropical dry forest_Permanent water bodies,0,0,10,10,1
39,SSA_Tropical dry forest_Herbaceous wetland,0.31,0.28,51,39,0
40,SSA_Tropical dry forest_Closed forest evergreen broad leaf,0.05,0.04,313,17,0
41,SSA_Tropical dry forest_Closed forest deciduous broad leaf,0.11,0.1,147,30,0
42,SSA_Tropical dry forest_Closed forest mixed,0.18,0.16,86,32,0
43,SSA_Tropical dry forest_Closed forest undefined,0.1,0.09,153,54,0
44,SSA_Tropical dry forest_Open forest evergreen broad leaf,0.09,0.08,180,26,0
45,SSA_Tropical dry forest_Open forest deciduous broad leaf,0.2,0.18,79,15,0
46,SSA_Tropical dry forest_Open forest mixed,0.21,0.19,74,10,0
