Key*,LULC,rmax,rmaxSD,K,KSD,TOF
1,SSA_Tropical rainforest_No Data,0,0,80,117,1
2,SSA_Tropical rainforest_Shrubs,0.26,0.2,117,26,0
3,SSA_Tropical rainforest_Herbaceous vegetation,0,0,35,29,1
4,SSA_Tropical rainforest_Agriculture,0,0,33,17,1
5,SSA_Tropical rainforest_Urban built up,0,0,41,20,1
6,SSA_Tropical rainforest_Bare sparse vegetation,0,0,13,13,1
7,SSA_Tropical rainforest_Permanent water bodies,0,0,56,56,1
8,SSA_Tropical rainforest_Herbaceous wetland,0,0,63,52,1
9,SSA_Tropical rainforest_Closed forest evergreen broad leaf,0.1,0.08,296,15,0
10,SSA_Tropical rainforest_Closed forest deciduous broad leaf,0.18,0.14,173,20,0
11,SSA_Tropical rainforest_Closed forest undefined,0.12,0.09,260,17,0
12,SSA_Tropical rainforest_Open forest evergreen broad leaf,0.22,0.17,137,31,0
13,SSA_Tropical rainforest_Open forest deciduous broad leaf,0.24,0.18,129,25,0
14,SSA_Tropical rainforest_Open forest undefined,0.22,0.17,136,34,0
15,SSA_Tropical rainforest_Oceans seas,0,0,54,52,1
16,SSA_Tropical moist forest_No Data,0,0,43,34,1
17,SSA_Tropical moist forest_Shrubs,0.18,0.06,66,14,0
18,SSA_Tropical moist forest_Herbaceous vegetation,0,0,27,19,1
19,SSA_Tropical moist forest_Agriculture,0,0,23,13,1
20,SSA_Tropical moist forest_Urban built up,0,0,27,14,1
21,SSA_Tropical moist forest_Bare sparse vegetation,0,0,19,16,1
22,SSA_Tropical moist forest_Permanent water bodies,0,0,20,20,1
23,SSA_Tropical moist forest_Herbaceous wetland,0,0,31,24,1
24,SSA_Tropical moist forest_Closed forest evergreen broad leaf,0.04,0.01,271,16,0
25,SSA_Tropical moist forest_Closed forest deciduous broad leaf,0.07,0.03,158,18,0
26,SSA_Tropical moist forest_Closed forest mixed,0.21,0.07,56,0,0
27,SSA_Tropical moist forest_Closed forest undefined,0.1,0.03,115,19,0
28,SSA_Tropical moist forest_Open forest evergreen broad leaf,0.12,0.04,95,15,0
29,SSA_Tropical moist forest_Open forest deciduous broad leaf,0.13,0.05,88,17,0
30,SSA_Tropical moist forest_Open forest mixed,0.18,0.06,66,2,0
31,SSA_Tropical moist forest_Open forest undefined,0.15,0.05,77,15,0
32,SSA_Tropical moist forest_Oceans seas,0,0,24,20,1
33,SSA_Tropical dry forest_No Data,0,0,2,0,1
34,SSA_Tropical dry forest_Shrubs,0.26,0.24,59,7,0
35,SSA_Tropical dry forest_Herbaceous vegetation,0,0,16,14,1
36,SSA_Tropical dry forest_Agriculture,0,0,18,12,1
37,SSA_Tropical dry forest_Urban built up,0,0,26,17,1
38,SSA_Tropical dry forest_Bare sparse vegetation,0,0,4,5,1
39,SSA_Tropical dry forest_Permanent water bodies,0,0,20,19,1
40,SSA_Tropical dry forest_Herbaceous wetland,0,0,29,22,1
41,SSA_Tropical dry forest_Closed forest evergreen broad leaf,0.07,0.06,217,12,0
42,SSA_Tropical dry forest_Closed forest deciduous broad leaf,0.14,0.13,110,19,0
43,SSA_Tropical dry forest_Closed forest mixed,0,0,26,12,1
44,SSA_Tropical dry forest_Closed forest undefined,0.1,0.09,150,33,0
45,SSA_Tropical dry forest_Open forest evergreen broad leaf,0.23,0.2,69,19,0
46,SSA_Tropical dry forest_Open forest deciduous broad leaf,0.21,0.19,73,6,0
47,SSA_Tropical dry forest_Open forest mixed,0,0,27,9,1
48,SSA_Tropical dry forest_Open forest undefined,0.22,0.2,71,7,0
49,SSA_Tropical dry forest_Oceans seas,0,0,33,35,1
50,SSA_Tropical shrubland_No Data,0,0,3,3,1
51,SSA_Tropical shrubland_Shrubs,0.05,0.05,72,6,0
52,SSA_Tropical shrubland_Herbaceous vegetation,0,0,8,9,1
53,SSA_Tropical shrubland_Agriculture,0,0,10,11,1
54,SSA_Tropical shrubland_Urban built up,0,0,16,13,1
55,SSA_Tropical shrubland_Bare sparse vegetation,0,0,4,8,1
56,SSA_Tropical shrubland_Permanent water bodies,0,0,13,16,1
57,SSA_Tropical shrubland_Herbaceous wetland,0,0,15,17,1
58,SSA_Tropical shrubland_Closed forest evergreen broad leaf,0.02,0.02,175,9,0
59,SSA_Tropical shrubland_Closed forest deciduous broad leaf,0.02,0.02,158,15,0
60,SSA_Tropical shrubland_Closed forest undefined,0.03,0.03,106,16,0
61,SSA_Tropical shrubland_Open forest deciduous broad leaf,0.04,0.03,99,21,0
62,SSA_Tropical shrubland_Open forest undefined,0.04,0.04,83,11,0
63,SSA_Tropical shrubland_Oceans seas,0,0,21,23,1
64,SSA_Tropical desert_No Data,0,0,2,1,1
65,SSA_Tropical desert_Shrubs,0,0,27,19,1
66,SSA_Tropical desert_Herbaceous vegetation,0,0,10,10,1
67,SSA_Tropical desert_Agriculture,0,0,12,10,1
68,SSA_Tropical desert_Urban built up,0,0,20,16,1
69,SSA_Tropical desert_Bare sparse vegetation,0,0,8,11,1
70,SSA_Tropical desert_Permanent water bodies,0,0,10,10,1
71,SSA_Tropical desert_Herbaceous wetland,0,0,20,16,1
72,SSA_Tropical desert_Closed forest deciduous broad leaf,0,0,90,22,1
73,SSA_Tropical desert_Closed forest undefined,0,0,38,22,1
74,SSA_Tropical desert_Open forest deciduous broad leaf,0,0,51,35,1
