Key*,LULC,rmax,rmaxSD,K,KSD,TOF
1,SSA_Tropical rainforest_Evergreen Needleleaf Forests,0.19,0.14,164,32,0
2,SSA_Tropical rainforest_Evergreen Broadleaf Forests,0.1,0.08,299,15,0
3,SSA_Tropical rainforest_Deciduous Broadleaf Forests,0.19,0.14,164,15,0
4,SSA_Tropical rainforest_Mixed Forests,0.16,0.13,188,17,0
5,SSA_Tropical rainforest_Closed Shrublands,0.17,0.13,177,24,0
6,SSA_Tropical rainforest_Open Shrublands,0.51,0.39,60,4,0
7,SSA_Tropical rainforest_Woody Savannas,0.13,0.1,237,26,0
8,SSA_Tropical rainforest_Savannas,0.24,0.19,125,29,0
9,SSA_Tropical rainforest_Grasslands,0.27,0.21,112,38,0
10,SSA_Tropical rainforest_Permanent Wetlands,0.13,0.1,226,28,0
11,SSA_Tropical rainforest_Croplands,0.53,0.41,57,6,0
12,SSA_Tropical rainforest_Urban and Built-up Lands,0,0,39,24,1
13,SSA_Tropical rainforest_Cropland/Natural Vegetation Mosaics,0.41,0.32,74,18,0
14,SSA_Tropical rainforest_Barren,0,0,18,22,1
15,SSA_Tropical rainforest_Water Bodies,0,0,43,49,1
16,SSA_Tropical moist forest_Evergreen Needleleaf Forests,0.1,0.03,122,4,0
17,SSA_Tropical moist forest_Evergreen Broadleaf Forests,0.04,0.02,260,20,0
18,SSA_Tropical moist forest_Deciduous Needleleaf Forests,0,0,32,1,1
19,SSA_Tropical moist forest_Deciduous Broadleaf Forests,0.09,0.03,132,18,0
20,SSA_Tropical moist forest_Mixed Forests,0.08,0.03,153,16,0
21,SSA_Tropical moist forest_Closed Shrublands,0.1,0.03,121,14,0
22,SSA_Tropical moist forest_Open Shrublands,0.13,0.04,91,16,0
23,SSA_Tropical moist forest_Woody Savannas,0.07,0.03,159,16,0
24,SSA_Tropical moist forest_Savannas,0.13,0.04,89,19,0
25,SSA_Tropical moist forest_Grasslands,0.19,0.06,62,12,0
26,SSA_Tropical moist forest_Permanent Wetlands,0.12,0.04,98,21,0
27,SSA_Tropical moist forest_Croplands,0.21,0.07,54,6,0
28,SSA_Tropical moist forest_Urban and Built-up Lands,0,0,28,15,1
29,SSA_Tropical moist forest_Cropland/Natural Vegetation Mosaics,0.18,0.06,65,9,0
30,SSA_Tropical moist forest_Barren,0,0,12,12,1
31,SSA_Tropical moist forest_Water Bodies,0,0,16,15,1
32,SSA_Tropical dry forest_Evergreen Needleleaf Forests,0.18,0.17,85,3,0
33,SSA_Tropical dry forest_Evergreen Broadleaf Forests,0.07,0.06,216,12,0
34,SSA_Tropical dry forest_Deciduous Broadleaf Forests,0.15,0.13,105,26,0
35,SSA_Tropical dry forest_Mixed Forests,0.13,0.12,117,12,0
36,SSA_Tropical dry forest_Closed Shrublands,0.24,0.22,65,7,0
37,SSA_Tropical dry forest_Open Shrublands,0.22,0.2,70,7,0
38,SSA_Tropical dry forest_Woody Savannas,0.12,0.1,134,25,0
39,SSA_Tropical dry forest_Savannas,0.2,0.18,77,9,0
40,SSA_Tropical dry forest_Grasslands,0.25,0.23,62,7,0
41,SSA_Tropical dry forest_Permanent Wetlands,0.13,0.12,119,25,0
42,SSA_Tropical dry forest_Croplands,0.31,0.28,51,7,0
43,SSA_Tropical dry forest_Urban and Built-up Lands,0,0,25,18,1
44,SSA_Tropical dry forest_Cropland/Natural Vegetation Mosaics,0.31,0.28,51,7,0
45,SSA_Tropical dry forest_Barren,0,0,5,8,1
46,SSA_Tropical dry forest_Water Bodies,0,0,18,24,1
47,SSA_Tropical shrubland_Evergreen Needleleaf Forests,0,0,74,22,1
48,SSA_Tropical shrubland_Evergreen Broadleaf Forests,0.02,0.02,148,18,0
49,SSA_Tropical shrubland_Deciduous Broadleaf Forests,0.02,0.02,169,12,0
50,SSA_Tropical shrubland_Mixed Forests,0.03,0.02,141,17,0
51,SSA_Tropical shrubland_Closed Shrublands,0.04,0.04,81,5,0
52,SSA_Tropical shrubland_Open Shrublands,0.06,0.05,59,11,0
53,SSA_Tropical shrubland_Woody Savannas,0.03,0.02,132,12,0
54,SSA_Tropical shrubland_Savannas,0.04,0.04,91,18,0
55,SSA_Tropical shrubland_Grasslands,0.05,0.05,71,7,0
56,SSA_Tropical shrubland_Permanent Wetlands,0.03,0.03,110,15,0
57,SSA_Tropical shrubland_Croplands,0.07,0.06,54,8,0
58,SSA_Tropical shrubland_Urban and Built-up Lands,0,0,13,12,1
59,SSA_Tropical shrubland_Cropland/Natural Vegetation Mosaics,0.17,0.15,21,7,0
60,SSA_Tropical shrubland_Barren,0,0,4,8,1
61,SSA_Tropical shrubland_Water Bodies,0,0,15,17,1
62,SSA_Tropical desert_Evergreen Needleleaf Forests,0,0,74,19,1
63,SSA_Tropical desert_Evergreen Broadleaf Forests,0,0,96,23,1
64,SSA_Tropical desert_Mixed Forests,0,0,124,10,1
65,SSA_Tropical desert_Closed Shrublands,0,0,20,14,1
66,SSA_Tropical desert_Open Shrublands,0,0,12,14,1
67,SSA_Tropical desert_Woody Savannas,0,0,44,13,1
68,SSA_Tropical desert_Savannas,0,0,21,11,1
69,SSA_Tropical desert_Grasslands,0,0,19,18,1
70,SSA_Tropical desert_Permanent Wetlands,0,0,11,9,1
71,SSA_Tropical desert_Croplands,0,0,12,8,1
72,SSA_Tropical desert_Urban and Built-up Lands,0,0,29,23,1
73,SSA_Tropical desert_Cropland/Natural Vegetation Mosaics,0,0,36,1,1
74,SSA_Tropical desert_Barren,0,0,8,12,1
75,SSA_Tropical desert_Water Bodies,0,0,7,9,1
76,SSA_Tropical mountain system_Evergreen Needleleaf Forests,0.23,0.29,94,4,0
77,SSA_Tropical mountain system_Evergreen Broadleaf Forests,0.08,0.1,285,13,0
78,SSA_Tropical mountain system_Deciduous Broadleaf Forests,0.18,0.22,124,20,0
79,SSA_Tropical mountain system_Mixed Forests,0.15,0.18,149,15,0
80,SSA_Tropical mountain system_Closed Shrublands,0.17,0.21,129,31,0
81,SSA_Tropical mountain system_Open Shrublands,0.32,0.4,68,7,0
82,SSA_Tropical mountain system_Woody Savannas,0.12,0.14,191,25,0
83,SSA_Tropical mountain system_Savannas,0.2,0.25,111,24,0
84,SSA_Tropical mountain system_Grasslands,0.28,0.35,78,19,0
85,SSA_Tropical mountain system_Permanent Wetlands,0.13,0.16,172,35,0
86,SSA_Tropical mountain system_Croplands,0.38,0.47,58,8,0
87,SSA_Tropical mountain system_Urban and Built-up Lands,0,0,36,22,1
88,SSA_Tropical mountain system_Cropland/Natural Vegetation Mosaics,0.29,0.35,77,11,0
89,SSA_Tropical mountain system_Barren,0,0,23,20,1
90,SSA_Tropical mountain system_Water Bodies,0,0,18,16,1
91,SSA_Subtropical humid forest_Evergreen Needleleaf Forests,0.1,0.09,96,7,0
92,SSA_Subtropical humid forest_Evergreen Broadleaf Forests,0.08,0.07,127,6,0
93,SSA_Subtropical humid forest_Deciduous Broadleaf Forests,0.12,0.11,85,6,0
94,SSA_Subtropical humid forest_Mixed Forests,0.09,0.08,108,9,0
95,SSA_Subtropical humid forest_Closed Shrublands,0.11,0.1,94,10,0
96,SSA_Subtropical humid forest_Open Shrublands,0.19,0.17,54,11,0
97,SSA_Subtropical humid forest_Woody Savannas,0.1,0.09,102,9,0
