Metric,capped,uncapped
BAU AGB 2030 (Mg),722788722,919007681
CCTS AGB 2030 (Mg),714258833,924738449
Baseline CCTS-BAU AGB gap 2009 (Mg),-1073168,78
End CCTS-BAU AGB gap 2030 (Mg),-8529889,5730767
Period delta AGB 2010-2030 (Mg),-7456721,5730690
Period avoided loss (Mg),-7456721,1306876
Period regrowth (Mg),0,4423814
Period avoided loss (tCO2e),-12850416,2252183
Period regrowth (tCO2e),0,7623706
AGB avoided 2010-2030 (tCO2e),-12850416,9875889
End-use avoided 2010-2030 (tCO2e),-1231426,-1231426
Total avoided 2010-2030 (tCO2e),-14081842,8644462
Common decomposition cells,574300,176867
