"fuel","scenario","period","total_tCO2e","unit"
"fuelwood","BAU","2010-2030",42267561.9881338,"tonnes_CO2e"
"fuelwood","ICS","2010-2030",41003221.631955,"tonnes_CO2e"
"fuelwood","Delta","2010-2030",1264340.35615928,"tonnes_CO2e"
"charcoal","BAU","2010-2030",54461186.9460115,"tonnes_CO2e"
"charcoal","ICS","2010-2030",55101445.8891289,"tonnes_CO2e"
"charcoal","Delta","2010-2030",-640258.943095214,"tonnes_CO2e"
"gas","BAU","2010-2030",31844376.1351559,"tonnes_CO2e"
"gas","ICS","2010-2030",32525987.6477857,"tonnes_CO2e"
"gas","Delta","2010-2030",-681611.512633312,"tonnes_CO2e"
"kerosene","BAU","2010-2030",10495824.7562629,"tonnes_CO2e"
"kerosene","ICS","2010-2030",10755534.3951533,"tonnes_CO2e"
"kerosene","Delta","2010-2030",-259709.63889556,"tonnes_CO2e"
"electric","BAU","2010-2030",85400.8323322147,"tonnes_CO2e"
"electric","ICS","2010-2030",220610.90399857,"tonnes_CO2e"
"electric","Delta","2010-2030",-135210.071666332,"tonnes_CO2e"
"pellets","BAU","2010-2030",0,"tonnes_CO2e"
"pellets","ICS","2010-2030",10500.7719138824,"tonnes_CO2e"
"pellets","Delta","2010-2030",-10500.7719138824,"tonnes_CO2e"
"ethanol","BAU","2010-2030",0,"tonnes_CO2e"
"ethanol","ICS","2010-2030",63060.5922208138,"tonnes_CO2e"
"ethanol","Delta","2010-2030",-63060.5922208138,"tonnes_CO2e"
"biogas","BAU","2010-2030",0,"tonnes_CO2e"
"biogas","ICS","2010-2030",705415.275691352,"tonnes_CO2e"
"biogas","Delta","2010-2030",-705415.275691352,"tonnes_CO2e"
"coal","BAU","2010-2030",50007.0440132465,"tonnes_CO2e"
"coal","ICS","2010-2030",50007.0440132465,"tonnes_CO2e"
"coal","Delta","2010-2030",0,"tonnes_CO2e"
