"fuel","scenario","period","total","unit"
"fuelwood","BAU","2010-2030",294762739.534631,"tonnes_wood_equiv"
"fuelwood","ICS","2010-2030",285945566.043754,"tonnes_wood_equiv"
"charcoal","BAU","2010-2030",122163890.293484,"tonnes_wood_equiv"
"charcoal","ICS","2010-2030",123600078.663033,"tonnes_wood_equiv"
"gas","BAU","2010-2030",8198377.62787741,"tonnes_wood_equiv"
"gas","ICS","2010-2030",8373859.43202266,"tonnes_wood_equiv"
"kerosene","BAU","2010-2030",2773204.49249602,"tonnes_wood_equiv"
"kerosene","ICS","2010-2030",2841824.91576474,"tonnes_wood_equiv"
"electric","BAU","2010-2030",261137.475356094,"kWh"
"electric","ICS","2010-2030",674580.948838153,"kWh"
"pellets","BAU","2010-2030",0,"tonnes_wood_equiv"
"pellets","ICS","2010-2030",202007.225438114,"tonnes_wood_equiv"
"ethanol","BAU","2010-2030",0,"tonnes_wood_equiv"
"ethanol","ICS","2010-2030",75220.2817320198,"tonnes_wood_equiv"
"biogas","BAU","2010-2030",0,"tonnes_wood_equiv"
"biogas","ICS","2010-2030",386079.558813493,"tonnes_wood_equiv"
"coal","BAU","2010-2030",18226.219219802,"tonnes_wood_equiv"
"coal","ICS","2010-2030",18226.219219802,"tonnes_wood_equiv"
